Date,open,high,low,close,adj_close,volume
2000-01-03,12.250000,13.950000,11.800000,13.200000,9.736903,19450150
2000-01-04,13.500000,13.500000,12.600000,12.850000,9.478729,10974305
2000-01-05,13.000000,13.750000,12.000000,12.850000,9.478729,15619835
2000-01-06,13.200000,14.000000,13.050000,13.300000,9.810668,22162375
2000-01-07,13.500000,13.650000,12.750000,12.900000,9.515610,12640820
2000-01-10,13.950000,14.200000,13.350000,13.650000,10.068844,19700925
2000-01-11,13.600000,13.600000,12.300000,12.500000,9.220554,15790290
2000-01-12,13.000000,13.000000,12.400000,12.600000,9.294316,5333880
2000-01-13,12.700000,12.900000,12.300000,12.400000,9.146788,3167925
2000-01-14,12.600000,12.600000,11.750000,12.150000,8.962376,3945420
2000-01-17,12.400000,12.700000,12.050000,12.300000,9.073024,5417225
2000-01-18,12.300000,12.400000,11.950000,12.150000,8.962376,6440115
2000-01-19,12.900000,12.900000,12.300000,12.350000,9.109905,2935480
2000-01-20,12.300000,12.850000,12.000000,12.300000,9.073024,7690465
2000-01-21,12.050000,12.250000,12.000000,12.100000,8.925495,4104770
2000-01-24,12.300000,12.300000,11.350000,11.400000,8.409144,5697080
2000-01-25,11.300000,11.450000,10.800000,10.900000,8.040322,5563460
2000-01-26,null,null,null,null,null,null
2000-01-27,11.550000,11.550000,10.900000,10.950000,8.077203,3433985
2000-01-28,10.850000,11.200000,10.550000,10.700000,7.892793,4932890
2000-01-31,10.500000,10.500000,9.550000,9.600000,7.081384,5082000
2000-02-01,9.400000,9.900000,9.000000,9.750000,7.192030,5847655
2000-02-02,9.550000,10.400000,9.550000,10.250000,7.560851,4065245
2000-02-03,10.400000,10.500000,10.000000,10.100000,7.450206,2474170
2000-02-04,10.350000,12.350000,10.350000,11.600000,8.556675,10137930
2000-02-07,11.900000,11.900000,11.000000,11.100000,8.187849,3710400
2000-02-08,11.850000,12.000000,11.200000,11.400000,8.409144,8722930
2000-02-09,11.750000,11.750000,11.200000,11.250000,8.298498,6696905
2000-02-10,11.400000,11.400000,10.850000,10.900000,8.040322,1983565
2000-02-11,11.000000,11.200000,10.250000,10.300000,7.597735,3337835
2000-02-14,10.800000,11.150000,10.250000,10.600000,7.819029,3681285
2000-02-15,10.800000,13.250000,10.500000,12.750000,9.404963,24677195
2000-02-16,14.900000,15.900000,13.600000,14.050000,10.363901,73804040
2000-02-17,14.450000,14.500000,13.650000,13.900000,10.253253,19035020
2000-02-18,14.100000,14.200000,12.250000,12.300000,9.073024,23019040
2000-02-21,12.850000,12.850000,10.900000,11.350000,8.372261,16955140
2000-02-22,11.150000,11.450000,10.600000,10.700000,7.892793,16620510
