Date,open,high,low,close,adj_close,volume
2002-07-01,120.300003,122.750000,118.150002,120.349998,94.307854,633
2002-07-02,124.000000,124.000000,115.000000,120.099998,94.111946,1190
2002-07-03,119.000000,119.849998,118.250000,119.000000,93.249992,575
2002-07-04,118.000000,118.949997,116.000000,117.500000,92.074562,1302
2002-07-05,117.500000,121.500000,117.500000,120.949997,94.778030,931
2002-07-08,123.949997,123.949997,120.000000,121.000000,94.817207,1311
2002-07-09,124.949997,124.949997,119.000000,119.050003,93.289162,486
2002-07-10,120.000000,123.500000,120.000000,120.900002,94.738861,1468
2002-07-11,118.000000,118.500000,118.000000,118.500000,92.858177,78
2002-07-12,116.000000,120.000000,116.000000,117.750000,92.270477,312
2002-07-15,116.000000,116.000000,113.750000,115.949997,90.859962,190
2002-07-16,117.000000,119.000000,113.250000,114.000000,89.331917,1002
2002-07-17,118.500000,118.500000,109.000000,110.250000,86.393364,1199
2002-07-18,110.550003,114.750000,110.550003,111.199997,87.137802,1152
2002-07-19,112.000000,112.500000,110.000000,110.000000,86.197472,350
2002-07-22,113.650002,113.650002,105.050003,109.300003,85.648949,549
2002-07-23,113.000000,113.000000,104.050003,108.500000,85.022049,259
2002-07-24,105.000000,105.000000,101.400002,104.699997,82.044312,601
2002-07-25,106.000000,110.800003,103.750000,105.650002,82.788765,269
2002-07-26,105.000000,105.000000,103.400002,104.000000,81.495796,297
2002-07-29,105.000000,105.000000,98.099998,98.250000,76.990005,640
2002-07-30,97.599998,102.000000,97.599998,98.150002,76.911652,1226
2002-07-31,95.550003,98.000000,95.550003,97.199997,76.167213,600
2002-08-01,98.000000,100.000000,98.000000,99.449997,77.930359,104
2002-08-02,94.599998,100.000000,94.599998,98.050003,76.833282,980
2002-08-05,98.000000,100.900002,95.099998,100.000000,78.361336,315
2002-08-06,99.449997,99.949997,97.099998,99.849998,78.243797,290
2002-08-07,100.000000,100.000000,98.000000,100.000000,78.361336,758
2002-08-08,104.000000,104.000000,96.000000,96.099998,75.305229,533
2002-08-09,95.349998,99.900002,95.349998,99.900002,78.282967,2
2002-08-12,96.250000,96.250000,96.250000,96.250000,75.422791,10
2002-08-13,105.000000,105.000000,96.250000,96.250000,75.422791,3
2002-08-14,105.000000,105.000000,95.000000,96.800003,75.853775,211
2002-08-15,null,null,null,null,null,null
2002-08-16,96.150002,96.150002,96.150002,96.150002,75.344429,1
2002-08-19,99.000000,99.849998,99.000000,99.599998,78.047874,460
2002-08-20,98.000000,102.250000,98.000000,102.099998,80.006927,1026
2002-08-21,103.000000,108.000000,102.500000,103.699997,81.260696,551
2002-08-22,null,null,null,null,null,null
2002-08-23,104.599998,105.000000,100.000000,100.150002,78.478874,650
2002-08-26,108.000000,108.000000,100.000000,101.000000,79.144943,632
2002-08-27,null,null,null,null,null,null
2002-08-28,100.050003,100.050003,100.000000,100.000000,78.361336,101
2002-08-29,101.250000,105.949997,100.000000,100.250000,78.557228,219
2002-08-30,100.199997,105.000000,100.199997,101.000000,79.144943,419
2002-09-02,104.000000,104.000000,100.150002,100.550003,78.792336,227
2002-09-03,100.150002,104.000000,100.150002,102.050003,79.967735,10
2002-09-04,100.099998,101.050003,100.050003,101.050003,79.184135,293
2002-09-05,101.000000,103.500000,100.000000,103.500000,81.103981,325
2002-09-06,100.050003,100.150002,100.000000,100.000000,78.361336,575
2002-09-09,100.000000,103.500000,100.000000,103.150002,80.829712,65
2002-09-10,null,null,null,null,null,null
2002-09-11,100.000000,100.000000,100.000000,100.000000,78.361336,50
2002-09-12,105.800003,105.849998,100.000000,102.000000,79.928551,200
2002-09-13,101.050003,102.900002,100.050003,100.050003,78.400505,390
2002-09-16,100.000000,100.000000,100.000000,100.000000,78.361336,230
2002-09-17,100.050003,100.050003,100.000000,100.000000,78.361336,150
2002-09-18,100.000000,100.000000,100.000000,100.000000,78.361336,46
2002-09-19,100.000000,109.000000,100.000000,104.099998,81.574142,597
2002-09-20,106.000000,106.000000,100.050003,103.750000,81.299889,1130
2002-09-23,102.000000,102.000000,101.000000,101.000000,79.144943,60
2002-09-24,101.000000,101.000000,100.000000,100.000000,78.361336,429
2002-09-25,null,null,null,null,null,null
2002-09-26,100.000000,100.000000,100.000000,100.000000,78.361336,125
2002-09-27,100.000000,101.000000,100.000000,100.000000,78.361336,216
2002-09-30,100.000000,102.699997,100.000000,102.349998,80.202820,4
2002-10-01,100.000000,100.099998,100.000000,100.000000,78.361336,668
2002-10-02,null,null,null,null,null,null
2002-10-03,102.000000,102.000000,102.000000,102.000000,79.928551,5
2002-10-04,102.000000,102.000000,100.099998,100.099998,78.439674,39
2002-10-07,101.000000,101.000000,100.099998,100.099998,78.439674,123
2002-10-08,100.050003,102.000000,100.000000,102.000000,79.928551,609
2002-10-09,100.099998,100.099998,100.000000,100.000000,78.361336,100
2002-10-10,100.000000,100.000000,100.000000,100.000000,78.361336,100
2002-10-11,103.849998,103.949997,101.000000,102.699997,80.477089,600
2002-10-14,100.150002,102.449997,100.000000,100.050003,78.400505,252
2002-10-15,null,null,null,null,null,null
2002-10-16,102.000000,102.000000,100.000000,102.000000,79.928551,150
2002-10-17,101.750000,101.750000,100.000000,100.050003,78.400505,213
2002-10-18,103.550003,103.550003,100.099998,102.000000,79.928551,102
2002-10-21,101.000000,102.000000,100.000000,100.000000,78.361336,323
2002-10-22,100.050003,101.949997,100.000000,101.949997,79.889389,300
2002-10-23,105.000000,105.000000,101.000000,101.000000,79.144943,300
2002-10-24,103.849998,104.000000,103.800003,103.900002,81.417412,4
2002-10-25,100.050003,100.099998,100.050003,100.099998,78.439674,474
2002-10-28,102.000000,102.000000,100.349998,100.349998,78.635605,195
2002-10-29,100.150002,103.500000,100.099998,103.500000,81.103981,205
2002-10-30,102.000000,102.000000,100.000000,102.000000,79.928551,301
2002-10-31,100.199997,101.000000,100.199997,101.000000,79.144943,10
2002-11-01,103.000000,104.900002,103.000000,104.750000,82.083504,3
2002-11-04,106.000000,106.000000,103.000000,104.949997,82.240219,6
2002-11-05,101.500000,101.500000,101.000000,101.250000,79.340843,50
2002-11-06,null,null,null,null,null,null
2002-11-07,107.900002,107.900002,100.000000,100.000000,78.361336,104
2002-11-08,100.849998,100.849998,100.849998,100.849998,79.027405,10
2002-11-11,101.500000,102.000000,100.000000,100.500000,78.753151,575
2002-11-12,100.550003,100.550003,100.000000,100.300003,78.596428,294
2002-11-13,null,null,null,null,null,null
2002-11-14,103.000000,103.000000,103.000000,103.000000,80.712151,200
2002-11-15,103.000000,103.000000,100.000000,100.250000,78.557228,910
2002-11-18,null,null,null,null,null,null
2002-11-19,null,null,null,null,null,null
2002-11-20,100.050003,100.050003,100.000000,100.000000,78.361336,400
2002-11-21,100.050003,102.000000,100.050003,101.500000,79.536766,200
2002-11-22,108.000000,111.500000,105.000000,108.400002,84.943687,1436
2002-11-25,110.000000,115.949997,109.500000,113.250000,88.744217,974
2002-11-26,110.050003,110.050003,105.099998,107.650002,84.355965,480
2002-11-27,104.500000,108.699997,104.050003,107.349998,84.120888,105
2002-11-28,108.000000,108.750000,105.250000,107.550003,84.277626,1225
2002-11-29,106.050003,107.650002,105.000000,106.699997,83.611534,655
2002-12-02,108.000000,109.800003,107.099998,109.750000,86.001556,1428
2002-12-03,102.099998,108.900002,102.099998,107.150002,83.964180,695
2002-12-04,null,null,null,null,null,null
2002-12-05,103.349998,108.000000,103.349998,106.500000,83.454811,620
2002-12-06,105.000000,105.000000,103.400002,103.599998,81.182335,996
2002-12-09,102.000000,105.000000,100.250000,103.650002,81.221527,1201
2002-12-10,102.250000,103.500000,102.000000,103.150002,80.829712,325
2002-12-11,105.500000,105.500000,100.050003,100.650002,78.870689,756
2002-12-12,103.949997,103.949997,102.000000,103.800003,81.339050,58
2002-12-13,105.199997,105.199997,101.000000,104.650002,82.005142,363
2002-12-16,104.400002,104.400002,101.250000,102.099998,80.006927,174
2002-12-17,101.000000,102.750000,100.349998,100.800003,78.988213,282
2002-12-18,103.500000,103.500000,100.250000,100.800003,78.988213,159
