Date,open,high,low,close,adj_close,volume
2009-12-03,177.000000,181.500000,152.000000,173.899994,146.461044,10656
2009-12-04,172.000000,177.000000,171.500000,173.800003,146.376862,2678
2009-12-07,175.100006,178.000000,174.000000,176.350006,148.524490,4246
2009-12-08,172.100006,190.000000,172.100006,180.350006,151.893356,23520
2009-12-09,184.000000,188.899994,180.000000,182.750000,153.914673,33291
2009-12-10,181.000000,186.000000,178.199997,180.699997,152.188126,4208
2009-12-11,184.500000,184.899994,178.100006,179.550003,151.219589,4893
2009-12-14,178.000000,181.449997,177.100006,177.199997,149.240356,5222
2009-12-15,177.000000,183.500000,176.100006,176.199997,148.398163,4787
2009-12-16,176.000000,179.000000,170.100006,175.000000,147.387497,3855
2009-12-17,171.050003,175.899994,171.050003,175.350006,147.682297,1191
2009-12-18,177.399994,180.000000,171.449997,173.899994,146.461044,5341
2009-12-21,176.250000,177.000000,172.100006,174.949997,147.345383,4366
2009-12-22,174.250000,187.899994,174.250000,183.899994,154.883194,19325
2009-12-23,184.300003,194.000000,183.100006,189.050003,159.220612,27548
2009-12-24,189.899994,202.000000,189.899994,195.350006,164.526550,54667
2009-12-29,199.000000,225.500000,197.000000,216.850006,182.634186,213071
2009-12-30,217.000000,222.000000,211.000000,212.300003,178.802109,30782
2009-12-31,215.000000,216.399994,205.800003,207.000000,174.338348,19589
2010-01-04,209.600006,246.800003,207.000000,243.149994,204.784409,341514
2010-01-05,244.899994,248.699997,231.199997,232.600006,195.899048,83667
2010-01-06,235.000000,245.000000,232.699997,237.350006,199.899567,38838
2010-01-07,239.949997,242.000000,231.000000,233.350006,196.530701,17173
2010-01-08,229.199997,238.500000,229.199997,232.899994,196.151718,11253
2010-01-11,236.000000,238.000000,228.000000,229.500000,193.288193,20958
2010-01-12,227.250000,234.000000,214.000000,221.000000,186.129364,67394
2010-01-13,222.000000,229.000000,221.500000,224.899994,189.413986,14964
2010-01-14,228.800003,238.000000,224.550003,234.750000,197.709824,24212
2010-01-15,238.899994,243.000000,231.100006,238.300003,200.699661,29517
2010-01-18,239.899994,239.899994,230.050003,230.850006,194.425171,9144
2010-01-19,231.000000,233.000000,225.000000,226.000000,190.340439,4516
2010-01-20,232.699997,232.699997,217.050003,220.149994,185.413467,10993
2010-01-21,222.000000,234.500000,210.000000,215.699997,181.665619,16788
