Date,open,high,low,close,adj_close,volume
2002-07-01,59.000000,63.333302,58.466702,62.900002,33.822479,4869748
2002-07-02,62.599998,63.066700,59.933300,60.266701,32.406502,4133336
2002-07-03,60.000000,61.133301,59.166698,59.299999,31.886698,1925643
2002-07-04,58.599998,60.266701,56.666698,59.466702,31.976330,2868132
2002-07-05,60.666698,61.866699,59.466702,59.900002,32.209320,2155646
2002-07-08,60.599998,60.599998,57.766701,58.033298,31.205564,1730649
2002-07-09,58.366699,59.266701,58.066700,58.666698,31.546154,1098970
2002-07-10,59.299999,59.299999,58.000000,58.133301,31.259336,723286
2002-07-11,60.000000,60.633301,58.166698,58.433300,31.420656,2221274
2002-07-12,59.000000,59.333302,58.200001,58.633301,31.528194,967100
2002-07-15,58.000000,59.000000,56.866699,57.366699,30.847116,884284
2002-07-16,57.366699,59.066700,57.033298,57.533298,30.936703,1006808
2002-07-17,57.700001,58.000000,55.099998,56.166698,30.201857,1509974
2002-07-18,56.866699,58.833302,56.133301,58.466702,31.438616,1511024
2002-07-19,58.933300,60.933300,57.500000,60.500000,32.531956,4251790
2002-07-22,59.866699,62.333302,58.866699,59.833302,32.173454,5811639
2002-07-23,59.333302,60.433300,57.333302,58.666698,31.546154,2284899
2002-07-24,58.966702,59.766701,57.733299,58.099998,31.241428,1618744
2002-07-25,59.133301,59.599998,57.766701,58.066700,31.223524,921532
2002-07-26,59.000000,59.000000,55.966702,56.299999,30.273537,937748
2002-07-29,58.766701,58.766701,54.599998,56.599998,30.434847,2271825
2002-07-30,56.066700,57.833302,51.666698,52.733299,28.355652,1961828
2002-07-31,51.333302,52.533298,49.333302,51.866699,27.889671,2179143
2002-08-01,52.666698,52.966702,50.700001,51.000000,27.423628,926790
2002-08-02,50.000000,52.433300,49.599998,51.233299,27.549078,1013688
2002-08-05,52.066700,53.266701,51.400002,53.000000,28.499069,866454
2002-08-06,53.133301,55.799999,52.166698,54.533298,29.323545,2219878
2002-08-07,55.200001,55.500000,53.400002,53.733299,28.893379,1110255
2002-08-08,52.666698,53.233299,50.266701,50.799999,27.316086,1163097
2002-08-09,56.000000,56.000000,51.066700,51.633301,27.764170,795918
2002-08-12,52.766701,54.500000,52.000000,54.033298,29.054689,1382940
2002-08-13,54.333302,54.666698,53.033298,53.466702,28.750017,682890
2002-08-14,53.333302,53.733299,52.866699,53.166698,28.588705,405904
2002-08-15,null,null,null,null,null,null
2002-08-16,53.666698,54.000000,53.000000,53.200001,28.606607,418696
2002-08-19,53.333302,54.266701,52.366699,52.966702,28.481165,1277984
2002-08-20,53.333302,53.566700,52.099998,52.333302,28.140566,477008
2002-08-21,52.333302,53.299999,52.266701,52.433300,28.194342,432628
2002-08-22,53.599998,53.599998,52.066700,52.266701,28.104752,676617
2002-08-23,52.866699,52.866699,50.733299,51.000000,27.423628,562203
2002-08-26,51.599998,52.466702,51.000000,51.599998,27.746258,538874
2002-08-27,51.599998,52.200001,50.333302,50.566700,27.190636,276574
2002-08-28,51.266701,52.466702,50.833302,51.866699,27.889671,967833
2002-08-29,51.866699,52.000000,50.799999,51.000000,27.423628,310146
2002-08-30,51.466702,52.966702,51.000000,52.633301,28.301886,1519824
2002-09-02,54.033298,54.933300,53.066700,54.599998,29.359419,2061928
2002-09-03,54.933300,56.566700,54.666698,55.766701,29.986767,1892212
2002-09-04,55.066700,57.799999,55.066700,56.799999,30.542391,2669870
2002-09-05,57.333302,57.666698,56.233299,56.466702,30.363173,807189
2002-09-06,56.599998,56.966702,54.733299,56.333302,30.291443,1570126
2002-09-09,54.666698,54.900002,51.433300,53.233299,28.624512,3706012
2002-09-10,null,null,null,null,null,null
2002-09-11,54.000000,54.666698,53.533298,54.233299,29.162233,1490770
2002-09-12,54.333302,57.599998,54.066700,57.166698,30.739574,2152242
2002-09-13,55.966702,58.933300,55.033298,56.966702,30.632032,2896528
2002-09-16,57.700001,58.233299,46.733299,48.333302,25.989695,7092532
2002-09-17,52.333302,53.733299,50.466702,51.833302,27.871712,5342871
2002-09-18,50.933300,50.933300,47.799999,48.400002,26.025558,2837277
2002-09-19,48.333302,49.666698,43.333302,49.033298,26.366102,5379702
2002-09-20,47.900002,50.400002,46.933300,50.033298,26.903814,4730409
2002-09-23,50.433300,51.200001,48.400002,49.666698,26.706690,2506686
2002-09-24,48.733299,50.133301,48.733299,49.299999,26.509510,2281882
2002-09-25,48.666698,49.566700,48.400002,48.966702,26.330286,815698
2002-09-26,49.299999,49.966702,48.733299,49.400002,26.563282,551616
2002-09-27,49.599998,50.166698,49.433300,49.966702,26.868008,576360
2002-09-30,49.133301,50.400002,48.333302,48.799999,26.240644,908532
2002-10-01,47.933300,49.000000,44.666698,46.900002,25.218983,1628025
2002-10-02,null,null,null,null,null,null
2002-10-03,48.000000,48.666698,47.133301,47.533298,25.559519,566660
2002-10-04,47.299999,48.500000,47.299999,47.900002,25.756704,453034
2002-10-07,50.000000,52.000000,49.333302,51.133301,27.495306,4021998
2002-10-08,51.333302,52.266701,50.666698,51.099998,27.477400,1840322
2002-10-09,51.799999,51.933300,50.400002,50.599998,27.208546,1275524
2002-10-10,49.666698,51.333302,48.733299,49.966702,26.868008,1427685
2002-10-11,49.666698,50.333302,48.666698,49.799999,26.778364,796797
2002-10-14,49.599998,50.000000,48.700001,49.066700,26.384062,404034
