Date,open,high,low,close,adj_close,volume
2002-07-01,81.000000,81.000000,79.449997,79.650002,49.524632,109474
2002-07-02,79.800003,79.900002,78.250000,79.050003,49.151577,154258
2002-07-03,79.400002,82.800003,79.400002,81.050003,50.395134,270208
2002-07-04,82.750000,83.000000,80.699997,81.150002,50.457314,156092
2002-07-05,87.000000,87.000000,78.800003,80.449997,50.022064,77492
2002-07-08,84.000000,86.699997,80.900002,81.300003,50.550583,246819
2002-07-09,83.000000,83.699997,79.500000,79.949997,49.711166,103989
2002-07-10,80.099998,84.400002,79.599998,83.750000,52.073917,533284
2002-07-11,84.000000,85.900002,81.250000,81.849998,50.892540,543681
2002-07-12,83.400002,83.650002,79.550003,80.199997,49.866611,173477
2002-07-15,80.500000,80.500000,77.050003,77.849998,48.405434,96577
2002-07-16,84.000000,84.000000,74.099998,74.650002,46.415749,182683
2002-07-17,74.949997,76.000000,73.599998,75.550003,46.975342,105693
2002-07-18,76.400002,77.349998,75.650002,76.250000,47.410595,97274
2002-07-19,76.949997,76.949997,73.050003,73.800003,45.887234,62062
2002-07-22,72.250000,73.000000,69.000000,69.449997,43.182495,96931
2002-07-23,69.000000,71.800003,67.250000,70.849998,44.052990,97596
2002-07-24,70.449997,70.449997,68.750000,69.000000,42.902702,53610
2002-07-25,70.699997,73.000000,69.699997,69.900002,43.462299,75350
2002-07-26,68.150002,69.400002,66.500000,66.800003,41.534786,58823
2002-07-29,67.000000,68.500000,62.099998,64.500000,40.104691,117442
2002-07-30,69.900002,69.900002,60.099998,62.349998,38.767864,114677
2002-07-31,61.500000,61.750000,56.150002,58.599998,36.436195,253709
2002-08-01,59.000000,62.450001,59.000000,59.799999,37.182339,82149
2002-08-02,58.500000,65.800003,57.000000,65.800003,40.913002,545603
2002-08-05,66.900002,71.300003,66.500000,71.300003,45.016937,438239
2002-08-06,73.500000,74.000000,67.500000,70.099998,44.259281,483395
2002-08-07,71.900002,71.900002,67.300003,67.900002,42.870266,175266
2002-08-08,69.900002,69.900002,65.099998,65.400002,41.291832,130287
2002-08-09,67.000000,69.900002,65.099998,67.349998,42.523014,260477
2002-08-12,68.699997,69.400002,65.199997,65.750000,41.512810,81340
2002-08-13,67.349998,67.349998,63.599998,64.949997,41.007706,70646
2002-08-14,64.000000,65.449997,62.400002,64.150002,40.502613,94181
2002-08-15,null,null,null,null,null,null
2002-08-16,66.400002,66.400002,64.000000,64.300003,40.597321,41064
2002-08-19,64.500000,64.949997,59.799999,61.900002,39.082024,99577
2002-08-20,62.950001,66.449997,62.000000,64.300003,40.597321,201314
2002-08-21,64.599998,64.900002,63.000000,63.250000,39.934383,83651
2002-08-22,62.299999,64.449997,62.000000,62.799999,39.650265,42702
2002-08-23,64.000000,64.900002,62.250000,62.750000,39.618690,36156
2002-08-26,63.400002,63.849998,62.099998,62.599998,39.523979,40738
2002-08-27,61.000000,64.000000,61.000000,61.650002,38.924187,52562
2002-08-28,61.200001,62.299999,60.500000,61.900002,39.082024,37611
2002-08-29,62.000000,62.450001,60.000000,60.700001,38.324375,47919
2002-08-30,61.000000,62.250000,61.000000,62.099998,39.208302,38743
2002-09-02,63.250000,64.500000,63.000000,63.700001,40.218498,67501
2002-09-03,63.900002,65.900002,62.549999,64.800003,40.913010,192408
2002-09-04,64.500000,71.199997,63.299999,70.050003,44.227730,363163
2002-09-05,70.449997,72.900002,67.750000,68.449997,43.217514,347788
2002-09-06,67.000000,68.300003,65.150002,65.699997,41.481236,102169
2002-09-09,67.050003,67.050003,60.000000,64.300003,40.597321,47297
2002-09-10,null,null,null,null,null,null
2002-09-11,65.800003,66.550003,64.500000,65.699997,41.481236,66811
2002-09-12,66.000000,67.000000,65.300003,65.849998,41.575943,51315
2002-09-13,66.000000,66.000000,63.799999,64.150002,40.502613,46894
2002-09-16,64.000000,66.849998,63.099998,66.050003,41.702225,44876
2002-09-17,67.800003,69.900002,66.400002,67.250000,42.459866,168832
2002-09-18,67.750000,67.750000,65.300003,66.250000,41.828499,45106
2002-09-19,66.900002,66.900002,63.799999,64.250000,40.565746,48390
2002-09-20,63.799999,65.000000,63.000000,64.150002,40.502613,33122
2002-09-23,65.400002,66.250000,64.800003,65.150002,41.133984,54529
2002-09-24,64.599998,65.449997,64.300003,65.099998,41.102417,35886
2002-09-25,63.349998,65.500000,63.349998,65.199997,41.165554,22461
2002-09-26,65.050003,66.000000,65.050003,65.250000,41.197128,10940
2002-09-27,65.650002,65.800003,62.599998,62.950001,39.744965,116942
2002-09-30,62.599998,63.500000,62.150002,62.950001,39.744965,34246
2002-10-01,62.900002,63.099998,59.200001,60.599998,38.261238,57605
2002-10-02,null,null,null,null,null,null
2002-10-03,60.599998,61.750000,60.250000,60.599998,38.261238,22898
2002-10-04,62.099998,66.000000,61.049999,64.250000,40.565746,208918
2002-10-07,64.400002,65.849998,64.000000,64.449997,40.692024,73216
2002-10-08,64.050003,64.800003,63.099998,63.500000,40.092224,27143
2002-10-09,64.849998,64.849998,62.500000,62.700001,39.587124,23061
2002-10-10,62.000000,62.900002,61.950001,62.500000,39.460850,15335
2002-10-11,65.000000,65.699997,62.099998,62.349998,39.366135,24475
2002-10-14,63.000000,63.150002,61.400002,61.650002,38.924187,19241
2002-10-15,null,null,null,null,null,null
2002-10-16,63.700001,63.700001,61.000000,61.299999,38.703197,23653
2002-10-17,61.200001,61.400002,60.000000,61.000000,38.513786,26703
2002-10-18,61.750000,62.450001,61.200001,61.400002,38.766331,23581
2002-10-21,61.500000,62.000000,60.500000,60.700001,38.324375,12286
2002-10-22,60.750000,61.299999,59.549999,60.049999,37.913986,17834
2002-10-23,60.000000,61.000000,59.799999,60.500000,38.198105,18409
2002-10-24,60.000000,60.049999,59.000000,59.500000,37.566723,22371
2002-10-25,59.200001,59.500000,58.000000,58.099998,36.682804,12053
2002-10-28,58.299999,58.299999,55.500000,55.700001,35.167503,15499
2002-10-29,55.250000,57.400002,55.250000,56.849998,35.893585,12167
2002-10-30,58.000000,58.150002,56.799999,57.150002,36.083000,8750
2002-10-31,62.000000,62.000000,56.500000,58.000000,36.619663,16478
2002-11-01,58.200001,58.750000,57.000000,57.450001,36.272419,8139
2002-11-04,59.250000,59.250000,57.000000,58.000000,36.619663,3576
2002-11-05,57.650002,58.500000,57.599998,57.950001,36.588093,9376
2002-11-06,null,null,null,null,null,null
2002-11-07,56.400002,60.400002,56.400002,59.349998,37.472027,33205
2002-11-08,58.950001,59.000000,58.000000,58.450001,36.903782,9558
2002-11-11,58.000000,58.599998,57.849998,58.150002,36.714371,5989
2002-11-12,56.000000,58.000000,56.000000,57.599998,36.367123,5418
2002-11-13,58.000000,58.500000,58.000000,58.049999,36.651234,7652
2002-11-14,58.000000,58.549999,57.000000,57.650002,36.398693,13322
2002-11-15,58.500000,60.500000,58.000000,59.650002,37.661438,195702
2002-11-18,59.500000,61.500000,58.599998,60.599998,38.261238,164402
2002-11-19,null,null,null,null,null,null
2002-11-20,60.500000,61.700001,59.049999,59.450001,37.535156,37341
2002-11-21,60.950001,60.950001,60.099998,60.500000,38.198105,34632
2002-11-22,61.599998,62.900002,60.299999,60.650002,38.292801,62351
2002-11-25,60.000000,61.500000,60.000000,61.049999,38.545361,25652
2002-11-26,61.500000,61.650002,60.799999,60.950001,38.482216,24436
2002-11-27,60.750000,61.000000,59.000000,59.400002,37.503601,21501
2002-11-28,60.500000,62.000000,60.200001,61.000000,38.513786,93202
