Date,open,high,low,close,adj_close,volume
2002-07-01,73.886398,77.741402,73.611099,76.502296,58.745529,7013
2002-07-02,75.722099,78.934601,75.722099,78.521500,60.296055,7891
2002-07-03,78.154404,80.770203,78.154404,79.485298,61.036144,6561
2002-07-04,78.934601,83.294296,77.787300,80.862000,62.093296,12506
2002-07-05,82.605904,85.359497,81.734001,84.395699,64.806808,10895
2002-07-08,87.011597,87.654099,85.359497,87.241096,66.991760,17660
2002-07-09,89.856903,89.902802,85.405403,87.837601,67.449821,10607
2002-07-10,88.571899,89.810997,88.112999,88.158897,67.696556,8303
2002-07-11,90.728897,90.728897,87.745903,88.067101,67.626045,11617
2002-07-12,82.605904,86.277298,82.605904,84.487503,64.877304,4795
2002-07-15,78.934601,84.395699,78.200302,78.521500,60.296055,3417
2002-07-16,78.016701,79.622902,70.674004,75.263199,57.794029,3742
2002-07-17,75.263199,76.181000,72.739098,73.381599,56.349167,2780
2002-07-18,73.427498,87.195198,73.427498,82.284698,63.185783,42782
2002-07-19,82.514198,82.514198,75.859802,76.318703,58.604546,12937
2002-07-22,80.770203,80.770203,71.224701,74.987801,57.582558,11771
2002-07-23,77.970802,77.970802,71.591797,76.410500,58.675022,8188
2002-07-24,76.364601,78.842796,74.345398,74.391197,57.124416,9862
2002-07-25,74.345398,76.135101,73.519302,73.519302,56.454906,4050
2002-07-26,71.408203,72.509697,67.920403,69.113602,53.071800,13466
2002-07-29,66.084702,68.379402,57.365200,64.157303,49.265896,12911
2002-07-30,68.838303,68.838303,62.413399,62.734600,48.173416,18403
2002-07-31,64.249100,65.809402,61.312000,63.423000,48.702026,21962
2002-08-01,59.797501,63.698399,59.797501,62.183899,47.750538,3062
2002-08-02,64.249100,68.838303,60.577702,63.285301,48.596302,26244
2002-08-05,66.084702,68.838303,66.084702,66.497803,51.063156,4369
2002-08-06,67.507401,70.214996,66.268303,68.792397,52.825146,18090
2002-08-07,67.920403,70.214996,67.920403,69.297203,53.212784,2564
2002-08-08,70.674004,70.674004,67.094398,68.058098,52.261292,5476
2002-08-09,68.838303,68.838303,65.671700,66.084702,50.745934,5696
2002-08-12,65.625801,66.084702,65.442299,65.763496,50.499279,3051
2002-08-13,65.625801,67.277901,65.166901,66.130699,50.781254,8018
2002-08-14,68.149902,68.149902,66.084702,66.222397,50.851665,5079
2002-08-15,null,null,null,null,null,null
2002-08-16,66.084702,66.084702,63.377102,64.203201,49.301144,2217
2002-08-19,65.625801,65.625801,63.973701,64.340897,49.406876,470
2002-08-20,65.625801,66.038902,64.294998,64.432602,49.477291,6054
2002-08-21,64.294998,65.166901,64.249100,64.340897,49.406876,3161
2002-08-22,65.029198,65.579903,64.340897,65.533997,50.323051,2201
2002-08-23,65.166901,65.166901,62.505199,62.597000,48.067749,3067
2002-08-26,64.019600,64.019600,63.331200,63.331200,48.631538,114
2002-08-27,64.249100,64.249100,61.954498,62.092098,47.680035,1869
2002-08-28,63.927799,63.927799,60.118801,60.118801,46.164764,1977
2002-08-29,59.659901,60.577702,59.613899,59.613899,45.777054,1640
2002-08-30,55.070599,61.036598,55.070599,60.715401,46.622890,607
2002-09-02,60.577702,63.285301,58.787899,62.964100,48.349640,2146
2002-09-03,60.577702,61.954498,60.256500,61.954498,47.574379,876
