Date,open,high,low,close,adj_close,volume
2006-12-20,1120.000000,1248.000000,918.049988,926.650024,792.336426,13380843
2006-12-21,933.000000,948.000000,900.000000,932.250000,797.124878,3645744
2006-12-22,951.000000,1018.500000,940.700012,1008.250000,862.108948,4011459
2006-12-26,1015.000000,1030.000000,984.349976,1003.700012,858.218506,2335098
2006-12-27,1010.000000,1020.000000,985.000000,993.200012,849.240295,1369166
2006-12-28,990.000000,995.000000,967.200012,985.450012,842.613647,1274436
2006-12-29,998.200012,1015.900024,990.000000,996.099976,851.719910,1070751
2007-01-02,1002.000000,1022.000000,989.000000,1012.549988,865.785645,737567
2007-01-03,1020.000000,1021.799988,996.000000,1001.799988,856.593811,584895
2007-01-04,1006.000000,1030.000000,985.000000,1024.050049,875.618713,1719801
2007-01-05,1023.799988,1099.000000,1016.000000,1093.800049,935.258789,3132098
2007-01-08,1096.800049,1128.199951,1076.000000,1102.150024,942.398682,1629606
2007-01-09,1104.000000,1126.000000,1076.000000,1088.550049,930.769775,703089
2007-01-10,1085.150024,1098.000000,1065.599976,1079.500000,923.031433,761456
2007-01-11,1022.250000,1097.900024,1022.250000,1079.800049,923.288147,627409
2007-01-12,1027.349976,1118.699951,1027.349976,1088.599976,930.812439,720376
2007-01-15,1125.000000,1125.000000,1080.000000,1084.949951,927.691589,416364
2007-01-16,1091.000000,1094.000000,1060.000000,1070.300049,915.165161,280836
2007-01-17,1080.000000,1100.000000,1062.000000,1084.150024,927.007507,443724
2007-01-18,1084.650024,1091.000000,1045.000000,1053.849976,901.099487,278243
2007-01-19,1073.900024,1073.900024,1014.000000,1040.349976,889.556213,372612
2007-01-22,1051.099976,1084.000000,1046.000000,1070.949951,915.720825,449513
2007-01-23,1075.000000,1076.800049,1045.000000,1052.849976,900.244385,258392
2007-01-24,1054.400024,1063.000000,1042.500000,1051.199951,898.833435,115695
2007-01-25,1057.000000,1064.000000,1045.050049,1055.900024,902.852234,315043
2007-01-29,1058.000000,1065.000000,1035.000000,1039.400024,888.743896,117047
2007-01-31,1042.000000,1047.800049,975.000000,982.250000,839.877502,301592
2007-02-01,990.000000,997.700012,962.049988,971.200012,830.429199,161204
2007-02-02,980.000000,1050.000000,977.299988,1031.250000,881.775269,488064
2007-02-05,1031.000000,1047.000000,1006.299988,1017.750000,870.231995,188296
2007-02-06,1025.000000,1031.699951,981.000000,1011.150024,864.588562,308751
2007-02-07,1015.000000,1018.000000,968.000000,973.450012,832.352966,245749
2007-02-08,980.000000,985.000000,963.000000,970.299988,829.659607,223173
2007-02-09,980.000000,980.000000,902.500000,912.150024,779.938171,519995
2007-02-12,906.000000,912.000000,820.000000,825.700012,706.018738,508730
2007-02-13,821.000000,847.700012,763.750000,815.200012,697.040527,713814
2007-02-14,800.000000,827.000000,753.250000,804.299988,687.720581,638163
2007-02-15,830.000000,877.000000,815.000000,861.200012,736.373108,415882
2007-02-19,890.000000,895.000000,815.000000,828.900024,708.754822,292822
2007-02-20,830.000000,830.000000,796.000000,802.150024,685.882080,276743
2007-02-21,810.000000,824.000000,798.000000,816.549988,698.194946,367705
2007-02-22,819.349976,823.950012,795.000000,802.000000,685.753784,258248
2007-02-23,802.000000,809.000000,773.000000,792.549988,677.673645,390182
2007-02-26,790.000000,820.000000,773.400024,795.349976,680.067749,261609
2007-02-27,796.000000,827.450012,779.500000,788.099976,673.868652,307693
2007-02-28,770.000000,784.000000,721.000000,746.150024,637.999084,535884
2007-03-01,747.000000,771.200012,739.299988,766.549988,655.442261,286887
2007-03-02,770.000000,776.599976,735.150024,740.349976,633.039734,181740
2007-03-05,737.000000,740.000000,697.000000,698.900024,597.597839,152594
2007-03-06,700.000000,749.950012,666.099976,671.299988,573.998230,298356
2007-03-07,700.000000,700.000000,620.000000,634.700012,542.703308,342698
2007-03-08,649.000000,694.500000,625.000000,681.349976,582.591675,341013
2007-03-09,698.650024,739.000000,650.000000,714.200012,610.680176,389721
2007-03-12,715.000000,735.150024,698.599976,722.549988,617.819763,208749
2007-03-13,725.700012,814.000000,700.000000,792.400024,677.545471,814065
2007-03-14,760.000000,824.000000,735.049988,787.099976,673.013611,1579553
2007-03-15,799.950012,818.000000,792.549988,800.049988,684.086548,538591
2007-03-16,801.000000,808.900024,766.049988,774.250000,662.026123,340821
2007-03-19,787.000000,795.000000,771.099976,779.049988,666.130432,141626
2007-03-20,789.700012,797.500000,780.000000,787.849976,673.654846,133622
2007-03-21,802.500000,809.000000,780.000000,791.250000,676.562012,153170
2007-03-22,798.799988,808.000000,793.500000,798.900024,683.103210,136300
2007-03-23,800.599976,802.000000,775.000000,779.099976,666.173035,65784
2007-03-26,780.000000,784.000000,757.000000,762.500000,651.979248,63197
2007-03-28,765.000000,765.000000,725.000000,729.849976,624.061646,126758
2007-03-29,749.000000,811.000000,720.000000,793.349976,678.357666,457180
2007-03-30,793.349976,816.000000,780.099976,803.400024,686.951050,675590
2007-04-02,770.000000,773.900024,740.250000,748.299988,639.837463,222437
2007-04-03,744.900024,750.000000,726.000000,736.799988,630.004272,237356
2007-04-04,745.000000,760.000000,735.349976,740.349976,633.039734,150968
2007-04-05,743.000000,769.000000,735.000000,752.599976,643.514221,357568
2007-04-09,760.000000,799.750000,755.000000,792.700012,677.802002,689517
2007-04-10,781.250000,815.700012,781.250000,803.500000,687.036438,601663
2007-04-11,809.000000,817.000000,790.049988,796.599976,681.136658,241967
2007-04-12,785.000000,826.000000,780.049988,796.549988,681.093811,387832
2007-04-13,782.299988,830.900024,782.299988,820.400024,701.486816,555435
2007-04-16,821.000000,850.000000,821.000000,836.150024,714.954163,403772
2007-04-17,830.000000,844.000000,806.000000,809.750000,692.380554,219683
2007-04-18,812.500000,832.450012,811.000000,820.000000,701.144836,224314
2007-04-19,801.000000,819.500000,800.000000,809.250000,691.953064,207614
2007-04-20,815.049988,828.849976,810.000000,819.450012,700.674683,187646
2007-04-23,835.000000,835.000000,806.250000,814.900024,696.784119,151876
2007-04-24,814.000000,864.799988,805.000000,856.799988,732.610901,458909
2007-04-25,899.950012,934.000000,860.000000,918.200012,785.111267,871341
2007-04-26,929.000000,935.000000,881.349976,888.599976,759.801514,551912
2007-04-27,882.000000,898.000000,860.000000,866.500000,740.904968,406595
2007-04-30,851.549988,881.799988,850.000000,870.049988,743.940369,173370
2007-05-03,875.000000,895.000000,873.250000,879.950012,752.405396,184059
2007-05-04,883.000000,909.700012,880.000000,886.950012,758.390808,287275
2007-05-07,898.000000,901.000000,860.000000,864.049988,738.810059,230929
2007-05-08,866.000000,889.000000,851.250000,854.950012,731.029053,175349
2007-05-09,856.000000,874.000000,845.599976,867.900024,742.101929,165975
2007-05-10,876.599976,889.650024,860.000000,863.049988,737.955017,185925
2007-05-11,850.000000,873.000000,843.000000,863.750000,738.553589,150013
2007-05-14,899.000000,899.000000,866.000000,873.400024,746.804871,211679
2007-05-15,880.000000,883.799988,860.500000,865.049988,739.665039,95330
2007-05-16,865.000000,915.000000,862.000000,909.849976,777.971558,396886
2007-05-17,920.000000,939.799988,913.000000,935.349976,799.775452,415786
