Date,open,high,low,close,adj_close,volume
2003-01-14,293.018005,297.511993,290.184998,294.484009,294.484009,35653
2003-01-15,295.070007,304.839996,295.070007,302.787994,302.787994,38686
2003-01-16,307.770996,309.726013,290.282013,293.115997,293.115997,194129
2003-01-17,296.339996,299.954987,292.139008,293.115997,293.115997,18105
2003-01-20,296.535004,296.535004,290.184998,291.503998,291.503998,10561
2003-01-21,291.601013,295.020996,287.252991,290.673004,290.673004,11260
2003-01-22,null,null,null,null,null,null
2003-01-23,null,null,null,null,null,null
2003-01-24,null,null,null,null,null,null
2003-01-27,null,null,null,null,null,null
2003-01-28,null,null,null,null,null,null
2003-01-29,null,null,null,null,null,null
2003-01-30,null,null,null,null,null,null
2003-01-31,null,null,null,null,null,null
2003-02-03,null,null,null,null,null,null
2003-02-04,null,null,null,null,null,null
2003-02-05,null,null,null,null,null,null
2003-02-06,null,null,null,null,null,null
2003-02-07,null,null,null,null,null,null
2003-02-10,null,null,null,null,null,null
2003-02-11,null,null,null,null,null,null
2003-02-12,null,null,null,null,null,null
2003-02-13,null,null,null,null,null,null
2003-02-14,null,null,null,null,null,null
2003-02-17,null,null,null,null,null,null
2003-02-18,null,null,null,null,null,null
2003-02-19,null,null,null,null,null,null
2003-02-20,null,null,null,null,null,null
2003-02-21,null,null,null,null,null,null
2003-02-24,null,null,null,null,null,null
2003-02-25,null,null,null,null,null,null
2003-02-26,null,null,null,null,null,null
2003-02-27,null,null,null,null,null,null
2003-02-28,null,null,null,null,null,null
2003-03-03,null,null,null,null,null,null
2003-03-04,null,null,null,null,null,null
2003-03-05,null,null,null,null,null,null
2003-03-06,null,null,null,null,null,null
2003-03-07,null,null,null,null,null,null
2003-03-10,null,null,null,null,null,null
2003-03-11,null,null,null,null,null,null
2003-03-12,null,null,null,null,null,null
2003-03-13,null,null,null,null,null,null
2003-03-14,null,null,null,null,null,null
2003-03-17,null,null,null,null,null,null
2003-03-18,null,null,null,null,null,null
2003-03-19,null,null,null,null,null,null
2003-03-20,null,null,null,null,null,null
2003-03-21,null,null,null,null,null,null
2003-03-24,null,null,null,null,null,null
2003-03-25,null,null,null,null,null,null
2003-03-26,null,null,null,null,null,null
2003-03-27,null,null,null,null,null,null
2003-03-28,null,null,null,null,null,null
2003-03-31,null,null,null,null,null,null
2003-04-01,null,null,null,null,null,null
2003-04-02,null,null,null,null,null,null
2003-04-03,null,null,null,null,null,null
2003-04-04,null,null,null,null,null,null
2003-04-07,null,null,null,null,null,null
2003-04-08,null,null,null,null,null,null
2003-04-09,null,null,null,null,null,null
2003-04-10,null,null,null,null,null,null
2003-04-11,null,null,null,null,null,null
2003-04-14,null,null,null,null,null,null
2003-04-15,null,null,null,null,null,null
2003-04-16,null,null,null,null,null,null
2003-04-17,null,null,null,null,null,null
2003-04-18,null,null,null,null,null,null
2003-04-21,null,null,null,null,null,null
2003-04-22,null,null,null,null,null,null
2003-04-23,null,null,null,null,null,null
2003-04-24,null,null,null,null,null,null
2003-04-25,null,null,null,null,null,null
2003-04-28,null,null,null,null,null,null
2003-04-29,null,null,null,null,null,null
2003-04-30,null,null,null,null,null,null
2003-05-01,null,null,null,null,null,null
2003-05-02,null,null,null,null,null,null
2003-05-05,null,null,null,null,null,null
2003-05-06,null,null,null,null,null,null
2003-05-07,null,null,null,null,null,null
2003-05-08,null,null,null,null,null,null
2003-05-09,null,null,null,null,null,null
2003-05-12,null,null,null,null,null,null
2003-05-13,null,null,null,null,null,null
2003-05-14,null,null,null,null,null,null
2003-05-15,null,null,null,null,null,null
2003-05-16,null,null,null,null,null,null
2003-05-19,null,null,null,null,null,null
2003-05-20,null,null,null,null,null,null
2003-05-21,null,null,null,null,null,null
2003-05-22,null,null,null,null,null,null
2003-05-23,null,null,null,null,null,null
2003-05-26,null,null,null,null,null,null
2003-05-27,null,null,null,null,null,null
2003-05-28,null,null,null,null,null,null
2003-05-29,null,null,null,null,null,null
2003-05-30,null,null,null,null,null,null
