Date,open,high,low,close,adj_close,volume
2005-07-13,36.430000,43.560001,31.230000,36.669998,22.943739,20444
2005-07-14,37.000000,37.000000,35.400002,35.959999,22.499506,5751
2005-07-15,35.099998,36.310001,35.099998,36.119999,22.599615,674
2005-07-18,36.599998,36.599998,35.299999,35.500000,22.211697,3070
2005-07-19,35.599998,36.200001,35.599998,36.160000,22.624649,3536
2005-07-20,37.000000,37.000000,36.099998,36.150002,22.618385,1977
2005-07-21,36.599998,36.599998,36.000000,36.020000,22.537052,2399
2005-07-22,36.000000,37.799999,35.939999,36.980000,23.137701,17989
2005-07-25,36.320000,36.400002,33.599998,35.200001,22.023993,12278
2005-07-26,34.820000,35.000000,32.040001,34.389999,21.517189,7278
2005-07-27,34.099998,34.599998,34.000000,34.500000,21.586012,1535
2005-07-28,null,null,null,null,null,null
2005-07-29,34.799999,35.099998,34.200001,34.459999,21.560986,1659
2005-08-01,34.099998,34.349998,33.299999,33.619999,21.035414,1559
2005-08-02,38.910000,38.910000,33.200001,33.290001,20.828938,2572
2005-08-03,34.959999,34.959999,33.240002,33.250000,20.803909,3114
2005-08-04,33.599998,33.820000,33.000000,33.200001,20.772629,7784
2005-08-05,33.590000,33.599998,33.200001,33.279999,20.822683,6163
2005-08-08,33.750000,33.959999,32.430000,32.759998,20.497326,3204
2005-08-09,33.000000,34.020000,32.599998,33.919998,21.223116,14093
2005-08-10,34.009998,36.799999,33.610001,33.880001,21.198092,67070
2005-08-11,34.000000,35.000000,33.599998,33.810001,21.154291,15948
2005-08-12,35.799999,37.580002,34.500000,34.919998,21.848797,118186
2005-08-16,36.000000,36.400002,35.310001,35.799999,22.399397,18372
2005-08-17,36.500000,36.500000,35.200001,35.410000,22.155380,8670
2005-08-18,35.000000,35.799999,33.200001,33.700001,21.085466,14466
2005-08-19,34.000000,35.400002,34.000000,34.700001,21.711147,13105
2005-08-22,34.880001,35.480000,33.799999,33.830002,21.166807,10483
2005-08-23,34.000000,34.340000,33.400002,33.560001,20.997875,9760
2005-08-24,34.279999,34.279999,32.849998,33.099998,20.710060,3822
2005-08-25,34.779999,34.779999,33.200001,33.310001,20.841454,8155
