Date,open,high,low,close,adj_close,volume
2002-07-01,26.264700,31.464600,26.264700,29.554199,5.754515,60798
2002-07-02,29.727900,30.443001,28.011700,29.186501,5.682920,29621
2002-07-03,33.712101,33.712101,28.624599,29.840300,5.810220,101750
2002-07-04,35.121799,35.121799,29.523600,31.556499,6.144383,99679
2002-07-05,31.668900,32.486198,30.320400,30.820999,6.001174,25431
2002-07-08,33.712101,33.712101,29.155800,29.983299,5.838065,83557
2002-07-09,30.790300,31.209200,29.932199,30.024200,5.846030,24129
2002-07-10,30.780100,30.780100,29.135401,29.217100,5.688878,25456
2002-07-11,28.604200,28.849300,27.603001,28.216000,6.913756,9706
2002-07-12,30.075199,30.075199,27.991199,28.328300,6.941275,8041
2002-07-15,26.969601,28.583700,26.969601,28.185301,6.906234,5849
2002-07-16,27.388500,28.073000,27.388500,27.623400,6.768551,12143
2002-07-17,27.378300,27.991199,27.174000,27.194401,6.663433,10195
2002-07-18,27.786900,28.093399,27.592800,27.664301,6.778575,3666
2002-07-19,27.020700,27.276100,26.561001,26.622299,6.523253,12554
2002-07-22,26.979900,27.378300,26.050200,26.264700,6.435632,17003
2002-07-23,26.152399,26.561001,25.539400,25.692699,6.295473,11893
2002-07-24,25.968500,25.988899,25.335100,25.355600,6.212874,6314
2002-07-25,25.641600,26.152399,25.335100,25.345301,6.210350,11286
2002-07-26,25.539400,25.886801,24.517900,24.640400,6.037629,13092
2002-07-29,24.415701,24.517900,23.721001,24.446400,5.990093,5306
2002-07-30,24.977600,25.948099,24.007099,24.446400,5.990093,61997
2002-07-31,23.700600,24.395300,23.200001,24.109200,5.907470,6583
2002-08-01,24.109200,24.405500,23.292000,23.577999,5.777308,8012
2002-08-02,22.597300,23.087700,22.597300,22.750500,5.574548,10464
2002-08-05,22.924200,23.475800,22.679001,23.056999,5.649649,6524
2002-08-06,23.056999,23.087700,22.709700,22.914000,5.614610,5433
2002-08-07,23.884501,23.884501,22.934401,23.189800,5.682189,6074
2002-08-08,23.087700,23.598400,22.883301,22.883301,5.607088,3333
2002-08-09,23.067200,23.496300,22.689199,23.056999,5.649649,2433
2002-08-12,23.670000,23.782301,23.404301,23.741501,5.817371,3181
2002-08-13,23.363501,23.547400,23.087700,23.169399,5.677192,2227
2002-08-14,23.108101,23.434999,22.801600,22.975300,5.629629,5770
2002-08-15,null,null,null,null,null,null
2002-08-16,23.036600,23.445200,23.026400,23.128500,5.667169,4713
2002-08-19,23.598400,23.904900,23.036600,23.588200,5.779809,7591
2002-08-20,24.007099,24.007099,23.383900,23.496300,5.757289,2863
2002-08-21,23.496300,24.088800,23.343000,23.761900,5.822371,10459
2002-08-22,23.700600,23.945801,23.526899,23.700600,5.807349,4635
2002-08-23,23.598400,24.058100,23.598400,23.904900,5.857410,4356
2002-08-26,23.802700,24.425900,23.700600,23.761900,5.822371,5046
2002-08-27,23.802700,23.966200,23.598400,23.813000,5.834892,7146
2002-08-28,23.700600,23.966200,23.547400,23.598400,5.782308,3852
2002-08-29,23.496300,24.109200,23.496300,23.751699,5.819871,6245
2002-08-30,23.547400,23.986601,23.547400,23.986601,5.877429,1297
2002-09-02,23.904900,24.303301,23.496300,23.904900,5.857410,3167
2002-09-03,23.915100,24.109200,23.915100,23.915100,5.859910,2672
2002-09-04,23.751699,24.099001,23.751699,23.915100,5.859910,1566
2002-09-05,24.313499,24.313499,23.700600,23.904900,5.857410,4929
2002-09-06,23.915100,24.109200,23.915100,23.915100,5.859910,6128
2002-09-09,23.925301,25.294300,23.496300,23.843599,5.842389,13611
2002-09-10,null,null,null,null,null,null
2002-09-11,24.109200,24.150101,23.700600,24.150101,5.917491,6979
2002-09-12,23.904900,24.058100,23.506500,23.588200,5.779809,4924
2002-09-13,23.516701,24.078600,23.516701,23.782301,5.827370,2760
2002-09-16,23.496300,24.293100,23.496300,24.109200,5.907470,3475
2002-09-17,23.496300,24.313499,23.496300,24.282900,5.950031,6828
2002-09-18,23.904900,24.109200,23.710800,23.710800,5.809849,2530
2002-09-19,23.496300,24.415701,23.496300,23.670000,5.799852,33967
2002-09-20,23.496300,24.058100,23.496300,23.884501,5.852411,12295
2002-09-23,23.904900,24.313499,23.618900,24.047899,5.892447,16151
2002-09-24,24.109200,24.293100,23.547400,24.139900,5.914992,19651
2002-09-25,24.211399,24.211399,23.537100,23.608700,5.784832,3260
2002-09-26,23.496300,24.007099,23.496300,24.007099,5.882451,1273
2002-09-27,23.904900,24.282900,23.904900,24.282900,5.950031,2105
2002-09-30,24.109200,24.313499,23.700600,24.211399,5.932513,6441
2002-10-01,24.456600,24.660900,24.109200,24.620001,6.032630,10459
2002-10-02,null,null,null,null,null,null
2002-10-03,24.476999,24.722200,24.313499,24.436100,5.987569,18139
2002-10-04,24.323799,24.671101,24.109200,24.497400,6.002590,24090
2002-10-07,24.313499,24.681299,24.211399,24.660900,6.042651,3891
2002-10-08,24.313499,24.712000,24.313499,24.466801,5.995091,3392
2002-10-09,24.681299,24.681299,24.415701,24.415701,5.982571,1610
2002-10-10,24.660900,24.722200,24.415701,24.415701,5.982571,18682
2002-10-11,24.517900,24.722200,24.415701,24.415701,5.982571,14566
2002-10-14,24.415701,24.517900,24.109200,24.487200,6.000091,1077
2002-10-15,null,null,null,null,null,null
2002-10-16,24.364599,24.374800,24.313499,24.313499,5.957529,5922
2002-10-17,24.364599,24.814100,24.313499,24.476999,5.997590,3906
2002-10-18,24.334000,24.334000,24.334000,24.334000,5.962551,661
2002-10-21,24.364599,24.517900,24.364599,24.517900,6.007614,1052
2002-10-22,24.109200,24.160299,23.547400,24.088800,5.902470,49541
2002-10-23,24.415701,24.415701,23.496300,23.598400,5.782308,22367
2002-10-24,22.995701,23.751699,22.995701,23.230700,5.692210,11345
2002-10-25,22.535999,22.781200,20.748199,22.004801,5.391829,21359
2002-10-28,23.292000,23.292000,21.861799,22.658600,5.552028,20645
2002-10-29,22.188700,22.679001,22.066099,22.117100,5.419346,1135
2002-10-30,22.679001,23.292000,22.679001,22.719900,5.567049,5095
2002-10-31,22.484900,23.292000,22.474701,23.159201,5.674693,2202
2002-11-01,22.679001,22.679001,22.168200,22.648399,5.549529,5496
2002-11-04,null,null,null,null,null,null
2002-11-05,23.383900,23.383900,22.403200,22.413401,5.491948,622
2002-11-06,null,null,null,null,null,null
2002-11-07,23.138700,23.240900,22.280600,23.169399,5.677192,2942
2002-11-08,23.036600,23.240900,22.535999,22.617701,5.542006,2016
2002-11-11,22.484900,23.394100,22.474701,22.822001,5.592067,3387
2002-11-12,22.321501,22.883301,22.290800,22.515600,5.516988,7748
2002-11-13,22.474701,22.730101,22.474701,22.709700,5.564550,1087
2002-11-14,23.904900,23.904900,22.270399,22.474701,5.506968,9480
2002-11-15,22.679001,22.832300,22.474701,22.474701,5.506968,4351
2002-11-18,22.679001,23.087700,22.474701,22.617701,5.542006,2667
2002-11-19,null,null,null,null,null,null
2002-11-20,22.474701,22.474701,21.453100,22.198900,5.439389,8976
2002-11-21,22.270399,22.658600,22.066099,22.341900,5.474430,13934
2002-11-22,22.883301,22.883301,22.066099,22.372499,5.481925,6671
2002-11-25,22.658600,22.658600,22.066099,22.444000,5.499446,2868
2002-11-26,22.117100,22.464500,21.933300,22.280600,5.459408,8971
2002-11-27,22.474701,22.474701,22.117100,22.270399,5.456906,5433
2002-11-28,22.086500,22.883301,22.086500,22.331699,5.471929,3867
2002-11-29,22.066099,22.454300,21.861799,22.209101,5.441889,9887
2002-12-02,22.474701,24.313499,22.474701,23.486099,5.754791,30061
2002-12-03,23.496300,23.700600,22.893600,22.985500,5.632129,14292
2002-12-04,22.679001,22.679001,22.474701,22.535999,5.521988,9353
2002-12-05,23.292000,23.292000,22.699400,23.077400,5.654647,1963
2002-12-06,22.525801,23.434999,22.474701,22.648399,5.549529,2002
2002-12-09,23.108101,23.496300,22.883301,23.138700,5.669669,6779
2002-12-10,23.394100,23.394100,22.679001,22.914000,5.614610,4772
2002-12-11,23.312401,23.700600,22.883301,23.496300,5.757289,17517
2002-12-12,23.087700,23.496300,23.087700,23.394100,5.732249,3451
2002-12-13,23.496300,23.802700,23.292000,23.302200,5.709730,64337
2002-12-16,23.312401,24.099001,23.312401,23.598400,5.782308,27923
2002-12-17,23.292000,23.577999,23.200001,23.394100,5.732249,6363
2002-12-18,23.292000,23.496300,23.087700,23.179600,5.679688,26870
2002-12-19,23.087700,23.955999,23.046801,23.353300,5.722251,24423
2002-12-20,23.486099,23.802700,23.292000,23.292000,5.707230,4576
2002-12-23,23.189800,23.598400,22.883301,23.394100,5.732249,16910
2002-12-24,23.475800,23.700600,23.189800,23.567801,5.774811,19044
2002-12-25,null,null,null,null,null,null
2002-12-26,23.189800,23.496300,22.883301,22.903799,5.612109,11066
2002-12-27,22.914000,23.087700,22.699400,22.893600,5.609610,4870
2002-12-30,22.883301,22.975300,22.638100,22.791401,5.584570,8908
2002-12-31,22.985500,23.036600,22.883301,22.944599,5.622107,3020
2003-01-01,22.914000,23.240900,22.903799,22.985500,5.632129,4087
2003-01-02,22.934401,23.077400,22.096701,22.566601,5.529487,20958
2003-01-03,23.067200,23.067200,22.627899,22.668800,5.554529,3274
2003-01-06,23.230700,23.230700,22.730101,22.883301,5.607088,4527
2003-01-07,22.413401,22.474701,22.168200,22.270399,5.456906,9231
2003-01-08,23.577999,23.577999,22.301001,22.454300,5.501970,15833
2003-01-09,23.455400,23.455400,22.474701,22.719900,5.567049,6872
2003-01-10,23.189800,23.210199,22.740299,22.893600,5.609610,4087
2003-01-13,22.781200,23.138700,22.546200,22.750500,5.574548,6074
2003-01-14,23.087700,23.108101,23.067200,23.087700,5.657172,3524
2003-01-15,23.394100,23.394100,22.832300,23.026400,5.642151,3793
2003-01-16,23.261299,23.261299,22.474701,22.474701,5.506968,10895
2003-01-17,22.975300,23.067200,22.546200,22.862900,5.602089,14561
2003-01-20,22.505400,22.771000,22.280600,22.617701,5.542006,14830
2003-01-21,22.484900,22.679001,22.066099,22.178400,5.434367,24815
2003-01-22,22.668800,22.781200,22.250000,22.679001,5.557027,11820
2003-01-23,22.781200,22.883301,21.596100,22.341900,5.474430,10425
2003-01-24,22.474701,22.474701,21.248800,21.769800,5.334246,7939
2003-01-27,22.066099,22.168200,20.860600,21.085400,5.166547,13988
2003-01-28,22.066099,22.137600,21.575701,21.974100,5.384305,8320
2003-01-29,22.066099,22.066099,21.453100,21.688101,5.314228,23209
2003-01-30,21.473600,22.066099,21.473600,21.820900,5.346768,2056
2003-01-31,22.045601,22.066099,22.045601,22.066099,5.406848,905
2003-02-03,22.066099,22.444000,22.066099,22.260201,5.454409,2286
2003-02-04,22.066099,22.066099,22.066099,22.066099,5.406848,808
2003-02-05,22.066099,22.117100,21.912800,22.117100,5.419346,1576
2003-02-06,22.117100,22.117100,21.912800,21.912800,5.369286,3671
2003-02-07,22.117100,22.474701,22.086500,22.106899,5.416845,2716
2003-02-10,22.515600,22.658600,22.066099,22.321501,5.469428,3916
2003-02-11,22.862900,22.862900,21.912800,22.045601,5.401826,5139
2003-02-12,22.076300,22.229500,22.066099,22.229500,5.446886,1238
2003-02-13,null,null,null,null,null,null
2003-02-14,22.270399,22.270399,22.076300,22.229500,5.446886,3823
2003-02-17,22.270399,22.474701,22.168200,22.474701,5.506968,3916
2003-02-18,22.679001,22.771000,21.882200,22.198900,5.439389,16851
2003-02-19,22.474701,22.474701,22.168200,22.168200,5.431868,866
2003-02-20,22.474701,22.474701,22.066099,22.454300,5.501970,1615
2003-02-21,22.066099,22.413401,22.066099,22.076300,5.409347,4219
2003-02-24,22.198900,22.239700,22.025200,22.127399,5.421868,8095
2003-02-25,22.168200,22.260201,22.086500,22.117100,5.419346,1224
2003-02-26,21.943501,22.270399,21.943501,22.270399,5.456906,538
2003-02-27,22.270399,22.270399,22.117100,22.117100,5.419346,3279
2003-02-28,22.679001,22.679001,22.147800,22.290800,5.461907,7763
2003-03-03,22.270399,22.474701,22.198900,22.219299,5.444387,6020
2003-03-04,22.474701,22.474701,22.066099,22.250000,5.451910,9387
2003-03-05,22.066099,22.066099,21.677900,21.963900,5.381808,10469
2003-03-06,22.413401,22.413401,21.963900,22.178400,5.434367,13171
2003-03-07,21.555300,22.168200,21.555300,21.943501,5.376809,7170
2003-03-10,21.708500,22.147800,21.677900,21.851500,5.354266,6103
2003-03-11,21.861799,21.861799,21.146700,21.739201,5.326750,10729
2003-03-12,21.657400,21.820900,21.269199,21.759600,5.331746,5604
2003-03-13,21.402100,21.647200,21.402100,21.453100,5.256646,6950
2003-03-14,null,null,null,null,null,null
2003-03-17,21.473600,22.393000,21.473600,22.045601,5.401826,3867
2003-03-18,null,null,null,null,null,null
2003-03-19,21.626801,22.025200,21.626801,21.677900,5.311728,2942
2003-03-20,20.952600,22.045601,20.952600,21.565500,5.284187,5036
2003-03-21,21.279499,22.474701,21.279499,21.912800,5.369286,30066
2003-03-24,21.657400,21.861799,21.657400,21.861799,5.356789,1224
2003-03-25,21.585899,21.861799,21.555300,21.739201,5.326750,6647
2003-03-26,21.708500,21.708500,21.708500,21.708500,5.319227,489
2003-03-27,21.453100,22.403200,21.453100,21.657400,5.306705,3387
2003-03-28,21.657400,21.657400,21.493999,21.555300,5.281688,1958
2003-03-31,21.453100,22.025200,21.453100,21.769800,5.334246,620237
2003-04-01,21.453100,21.718700,21.453100,21.657400,5.306705,2031
2003-04-02,21.248800,22.035400,21.248800,21.657400,5.306705,5873
2003-04-03,22.474701,22.474701,21.657400,21.657400,5.306705,2447
2003-04-04,21.882200,22.352100,21.780001,22.290800,5.461907,2251
2003-04-07,22.270399,22.832300,22.270399,22.679001,5.557027,7679
2003-04-08,22.556400,22.576900,22.270399,22.270399,5.456906,1718
2003-04-09,22.474701,22.474701,22.321501,22.474701,5.506968,7415
2003-04-10,22.270399,22.270399,21.882200,21.912800,5.369286,1879
2003-04-11,21.248800,22.270399,20.022900,21.483801,5.264169,11844
2003-04-14,null,null,null,null,null,null
