Date,open,high,low,close,adj_close,volume
2006-03-02,5.500000,8.845000,5.500000,7.860000,0.604198,327871420
2006-03-03,7.845000,7.870000,6.830000,7.160000,0.550389,117007340
2006-03-06,7.265000,7.400000,6.952500,7.137500,0.548660,42052820
2006-03-07,7.150000,7.150000,6.800000,6.855000,0.526944,14436440
2006-03-08,6.885000,7.870000,6.700000,7.205000,0.553849,83011500
2006-03-09,6.750000,7.345000,6.750000,7.037500,0.540973,18036520
2006-03-10,7.125000,7.275000,6.830000,6.905000,0.530787,9468600
2006-03-13,6.987500,7.145000,6.750000,6.807500,0.523293,5346000
2006-03-14,6.865000,6.907500,6.627500,6.685000,0.513876,3765460
2006-03-16,6.735000,6.785000,6.412500,6.455000,0.496196,4044540
2006-03-17,6.540000,6.540000,5.977500,6.040000,0.464295,3779040
2006-03-20,6.145000,7.250000,5.850000,7.210000,0.554233,33810980
2006-03-21,7.335000,7.545000,6.740000,6.825000,0.524638,42071220
2006-03-22,6.800000,7.090000,6.662500,6.692500,0.514453,15159260
2006-03-23,6.705000,7.050000,6.577500,6.662500,0.512146,10111020
2006-03-24,6.700000,6.845000,6.450000,6.500000,0.499655,5237080
2006-03-27,6.632500,6.792500,6.500000,6.557500,0.504075,7877060
2006-03-28,6.600000,7.142500,6.450000,6.597500,0.507150,26079060
2006-03-29,6.685000,6.850000,6.555000,6.620000,0.508879,4266680
2006-03-30,6.700000,6.840000,6.600000,6.630000,0.509648,3248520
2006-03-31,6.675000,6.700000,6.500000,6.537500,0.502538,2268140
2006-04-03,6.575000,6.790000,6.575000,6.667500,0.512531,3004580
2006-04-04,6.650000,6.705000,6.552500,6.575000,0.505420,1724380
2006-04-05,6.605000,6.970000,6.577500,6.722500,0.516759,6263760
2006-04-07,6.705000,6.800000,6.350000,6.412500,0.492929,2849600
2006-04-10,6.582500,6.587500,6.260000,6.385000,0.490815,1641840
2006-04-12,6.500000,6.650000,6.250000,6.292500,0.483705,2338640
2006-04-13,6.275000,6.307500,5.907500,5.990000,0.460451,1797700
2006-04-17,6.232500,6.232500,6.005000,6.100000,0.468907,988200
2006-04-18,6.150000,6.250000,6.077500,6.117500,0.470252,1101740
2006-04-19,6.150000,6.260000,6.112500,6.205000,0.476979,1318920
2006-04-20,6.200000,6.500000,6.200000,6.347500,0.487932,2515140
2006-04-21,6.400000,6.432500,6.075000,6.205000,0.476979,875840
2006-04-24,6.250000,7.172500,6.177500,6.990000,0.537322,15722680
2006-04-25,7.000000,7.395000,6.800000,6.842500,0.525983,13262660
2006-04-26,6.900000,7.730000,6.860000,7.217500,0.554809,30791840
2006-04-27,7.335000,7.465000,6.900000,6.975000,0.536168,6184940
2006-04-28,6.305000,7.075000,6.300000,6.965000,0.535400,5053060
2006-05-02,7.120000,7.335000,7.007500,7.062500,0.542894,2041740
2006-05-03,7.175000,7.305000,6.855000,6.915000,0.531556,1832480
2006-05-04,6.900000,6.985000,6.612500,6.722500,0.516759,1074820
2006-05-05,6.800000,6.950000,6.725000,6.792500,0.522140,1543540
2006-05-08,6.942500,7.265000,6.800000,6.947500,0.534054,6822820
2006-05-09,7.050000,7.167500,6.927500,7.000000,0.538090,2097280
2006-05-10,7.000000,8.395000,7.000000,8.172500,0.628220,34595960
2006-05-11,8.150000,8.252500,7.262500,7.427500,0.570952,18432760
2006-05-12,7.467500,8.135000,7.162500,7.612500,0.585173,29130340
2006-05-15,7.555000,7.825000,7.102500,7.205000,0.553849,7694120
2006-05-16,7.290000,7.330000,6.625000,7.035000,0.540781,4949540
2006-05-17,7.035000,7.600000,7.035000,7.480000,0.574988,5726560
2006-05-18,6.130000,7.350000,6.130000,6.830000,0.525022,3374780
2006-05-19,6.995000,7.107500,5.932500,6.252500,0.480630,2661760
2006-05-22,6.430000,6.440000,5.002500,5.582500,0.429127,1818680
2006-05-23,5.600000,6.500000,5.165000,6.180000,0.475057,2101500
2006-05-24,6.242500,6.450000,6.000000,6.087500,0.467946,1985460
2006-05-25,5.950000,6.490000,5.775000,6.305000,0.484665,1342180
2006-05-26,6.550000,6.700000,6.175000,6.287500,0.483320,1761300
2006-05-29,6.250000,6.665000,6.250000,6.435000,0.494659,1188280
2006-05-30,6.375000,6.585000,6.325000,6.370000,0.489662,1665060
2006-05-31,6.250000,6.300000,5.950000,6.047500,0.464871,1232300
2006-06-01,6.317500,6.400000,6.000000,6.042500,0.464487,1285420
2006-06-02,6.200000,6.200000,5.555000,5.680000,0.436622,1124920
2006-06-05,5.750000,5.850000,5.500000,5.580000,0.428935,654660
2006-06-06,5.300000,5.550000,5.222500,5.260000,0.404336,691860
2006-06-07,5.125000,5.400000,4.562500,4.625000,0.355524,919860
2006-06-08,4.405000,4.575000,3.760000,4.095000,0.314783,1524920
2006-06-09,4.145000,4.755000,4.145000,4.675000,0.359367,1218040
2006-06-12,4.500000,5.150000,4.307500,4.942500,0.379930,1504280
2006-06-13,4.450000,4.695000,4.250000,4.305000,0.330925,769620
2006-06-14,4.647500,4.740000,4.125000,4.207500,0.323431,939860
2006-06-15,4.250000,4.750000,4.250000,4.480000,0.344378,597720
2006-06-16,4.700000,5.150000,4.577500,5.047500,0.388001,2049260
2006-06-19,5.062500,6.057500,4.040000,5.555000,0.427013,4093580
2006-06-20,5.250000,5.745000,5.250000,5.505000,0.423170,1726980
2006-06-21,5.412500,6.300000,5.300000,5.945000,0.456992,4014440
2006-06-22,6.070000,6.600000,5.750000,5.825000,0.447768,2681060
2006-06-23,5.255000,5.750000,5.252500,5.682500,0.436814,1265480
2006-06-26,5.850000,5.850000,5.237500,5.305000,0.407795,980620
2006-06-27,5.250000,5.450000,5.050000,5.240000,0.402799,768760
2006-06-28,5.150000,5.350000,4.900000,4.937500,0.379546,755060
2006-06-29,5.150000,5.230000,4.940000,4.977500,0.382621,671920
2006-06-30,5.100000,5.350000,5.100000,5.145000,0.395496,961120
2006-07-03,5.200000,5.200000,5.050000,5.107500,0.392614,401500
2006-07-04,5.185000,5.195000,5.000000,5.105000,0.392421,326720
2006-07-05,5.100000,5.350000,4.952500,5.100000,0.392037,746520
2006-07-06,5.100000,5.200000,5.025000,5.065000,0.389347,485880
2006-07-07,5.087500,5.175000,4.905000,4.942500,0.379930,492940
2006-07-10,4.995000,5.100000,4.875000,4.955000,0.380891,345140
2006-07-11,4.997500,5.150000,4.875000,4.990000,0.383581,502660
2006-07-12,4.875000,4.995000,4.765000,4.952500,0.380699,422140
2006-07-13,4.855000,5.025000,4.855000,4.990000,0.480629,387180
2006-07-14,4.900000,4.950000,4.847500,4.927500,0.474609,143160
2006-07-17,4.805000,5.000000,4.800000,4.820000,0.464255,142980
2006-07-18,4.900000,4.900000,4.535000,4.612500,0.444269,325520
2006-07-19,4.995000,4.995000,4.255000,4.382500,0.422116,286100
2006-07-20,4.550000,4.550000,4.200000,4.387500,0.422597,506540
2006-07-21,4.205000,4.400000,4.205000,4.277500,0.412002,171540
2006-07-24,4.200000,4.200000,3.920000,4.000000,0.385274,303900
2006-07-25,4.102500,4.225000,3.962500,3.990000,0.384311,1568440
2006-07-26,4.147500,4.147500,4.000000,4.060000,0.391053,868760
2006-07-27,4.127500,4.375000,4.055000,4.262500,0.410558,1975920
2006-07-28,4.212500,4.390000,4.212500,4.330000,0.417059,402700
2006-07-31,4.375000,4.490000,4.330000,4.370000,0.420912,580280
2006-08-01,4.390000,4.592500,4.275000,4.385000,0.422357,998760
2006-08-02,4.425000,4.450000,4.270000,4.317500,0.415855,440520
2006-08-03,4.397500,4.605000,4.357500,4.447500,0.428376,1170000
2006-08-04,4.450000,4.550000,4.262500,4.305000,0.414651,939020
2006-08-07,4.305000,4.375000,4.150000,4.300000,0.414170,278480
2006-08-08,4.390000,4.500000,4.345000,4.422500,0.425968,395620
2006-08-09,4.400000,4.700000,4.377500,4.535000,0.436804,1054860
2006-08-10,4.585000,4.875000,4.565000,4.787500,0.461125,1379160
2006-08-11,4.850000,5.267500,4.850000,5.072500,0.488575,3741780
2006-08-14,5.150000,5.295000,5.030000,5.105000,0.491706,1252400
2006-08-16,5.197500,5.290000,5.107500,5.155000,0.496522,906880
2006-08-17,5.215000,5.300000,4.960000,5.067500,0.488094,881460
2006-08-18,5.050000,5.130000,5.000000,5.022500,0.483760,413300
2006-08-21,5.075000,5.412500,5.000000,5.307500,0.511210,1618520
2006-08-22,5.275000,5.545000,5.200000,5.270000,0.507598,990460
2006-08-23,5.390000,5.575000,5.300000,5.320000,0.512414,2049060
2006-08-24,5.155000,5.587500,5.135000,5.187500,0.499652,5169600
2006-08-25,5.250000,5.440000,5.200000,5.247500,0.505431,2458700
2006-08-28,5.340000,5.340000,5.105000,5.147500,0.495799,547360
2006-08-29,5.235000,5.315000,5.150000,5.172500,0.498207,713280
2006-08-30,5.235000,5.235000,5.085000,5.115000,0.492669,488200
2006-08-31,5.170000,5.322500,5.005000,5.142500,0.495318,1822860
2006-09-01,5.150000,5.187500,5.055000,5.085000,0.489779,436760
2006-09-04,5.225000,5.225000,5.105000,5.200000,0.500856,572720
2006-09-05,5.130000,5.227500,5.067500,5.082500,0.489539,606900
2006-09-06,5.082500,5.145000,5.012500,5.035000,0.484964,840000
2006-09-07,5.050000,5.120000,5.002500,5.070000,0.488335,412680
2006-09-08,5.075000,5.150000,5.050000,5.112500,0.492428,432780
2006-09-11,5.125000,5.147500,4.767500,4.855000,0.467626,567280
2006-09-12,4.897500,4.950000,4.612500,4.822500,0.464496,731960
2006-09-13,4.995000,5.250000,4.952500,4.970000,0.478703,2363180
