Date,open,high,low,close,adj_close,volume
2006-04-24,250.000000,375.725006,250.000000,366.162994,275.854187,46342060
2006-04-25,365.000000,370.000000,310.250000,327.649994,246.839951,14368480
2006-04-26,337.500000,337.500000,319.250000,325.149994,244.956604,2515764
2006-04-27,327.500000,341.725006,326.000000,332.024994,250.135727,2298448
2006-04-28,325.000000,325.000000,280.000000,318.388000,239.862274,1392384
2006-05-02,320.000000,333.750000,308.750000,326.587006,246.039078,1412796
2006-05-03,327.250000,333.000000,321.312012,324.937988,244.796814,607716
2006-05-04,323.750000,327.312012,314.524994,318.212006,239.729645,340108
2006-05-05,316.250000,321.462006,313.750000,315.674988,237.818375,216780
2006-05-08,317.000000,324.700012,313.750000,321.375000,242.112503,242040
2006-05-09,325.000000,352.250000,325.000000,346.325012,260.909058,2433960
2006-05-10,346.250000,373.674988,341.250000,370.325012,278.989716,2342548
2006-05-11,389.487000,405.000000,344.000000,357.450012,269.290314,2951684
2006-05-12,349.750000,357.250000,340.500000,345.149994,260.023834,1212732
2006-05-15,357.450012,357.450012,312.000000,321.662994,242.329590,1568976
2006-05-16,325.000000,342.100006,301.250000,332.437988,250.447006,1090132
2006-05-17,335.000000,347.500000,319.250000,321.687988,242.348389,671508
2006-05-18,322.500000,327.237000,300.000000,306.200012,230.680191,927720
2006-05-19,322.500000,322.500000,292.000000,298.500000,224.879364,406928
2006-05-22,298.500000,310.750000,260.013000,288.638000,217.449661,711036
2006-05-23,287.500000,292.500000,275.250000,289.837006,218.352936,251996
2006-05-24,287.500000,296.100006,284.250000,287.399994,216.516983,250584
2006-05-25,287.399994,299.750000,275.000000,292.774994,220.566299,326728
2006-05-26,292.562012,307.500000,292.562012,303.337006,228.523346,226212
2006-05-29,303.737000,313.750000,302.500000,306.049988,230.567184,165596
2006-05-30,315.000000,315.000000,296.524994,298.862000,225.152084,101864
2006-05-31,290.500000,308.750000,285.750000,302.649994,228.005890,195796
2006-06-01,308.750000,310.500000,301.750000,306.962006,231.254333,206464
2006-06-02,298.774994,304.950012,285.250000,294.299988,221.715195,162836
2006-06-05,324.975006,324.975006,287.500000,289.237000,217.900955,56992
2006-06-06,281.750000,295.000000,275.750000,292.475006,220.340317,110124
2006-06-07,288.750000,291.250000,266.250000,272.462006,205.263290,182876
2006-06-08,268.750000,268.750000,215.000000,221.587006,166.935791,398004
2006-06-09,222.500000,262.250000,212.500000,256.424988,193.181534,479992
2006-06-12,256.000000,256.000000,232.750000,237.462006,178.895432,184828
2006-06-13,225.000000,234.625000,205.000000,225.350006,169.770737,273492
2006-06-14,235.000000,241.225006,225.000000,225.712006,170.043427,233652
2006-06-15,234.574997,240.000000,230.000000,233.975006,176.268463,127296
2006-06-16,239.500000,256.250000,236.250000,250.024994,188.359970,232484
2006-06-19,245.000000,250.000000,240.000000,243.050003,183.105301,78292
2006-06-20,232.500000,243.750000,232.500000,236.649994,178.283722,95876
2006-06-21,237.500000,245.000000,237.500000,240.162994,180.930313,49568
2006-06-22,247.500000,250.000000,237.500000,240.375000,181.090012,108016
2006-06-23,235.250000,245.988007,225.250000,244.149994,183.934006,88604
2006-06-26,243.750000,246.250000,242.250000,244.537994,184.226273,79784
2006-06-27,243.750000,246.175003,241.125000,244.662994,184.320480,79820
2006-06-28,242.500000,244.425003,241.225006,242.238007,182.493576,22968
2006-06-29,246.250000,255.000000,243.725006,249.725006,188.133987,187512
2006-06-30,255.000000,256.250000,247.625000,249.537994,187.993042,70396
2006-07-03,250.500000,262.500000,250.500000,260.475006,196.232620,127464
2006-07-04,262.500000,287.250000,262.500000,283.549988,213.616516,257712
2006-07-05,283.500000,283.500000,270.250000,276.562012,208.352081,271532
2006-07-06,275.000000,282.487000,268.024994,269.562012,203.078522,279148
2006-07-07,275.000000,279.750000,265.500000,267.299988,201.374359,167740
2006-07-10,266.475006,272.500000,266.250000,270.549988,203.822784,63828
2006-07-11,267.500000,268.750000,257.500000,266.437988,200.724945,85872
2006-07-12,265.000000,275.000000,256.250000,271.674988,204.670319,90144
2006-07-13,269.950012,270.500000,261.250000,262.712006,197.917923,106664
2006-07-14,262.750000,268.862000,250.000000,266.274994,200.602158,87664
2006-07-17,266.250000,272.500000,263.774994,267.225006,201.317917,112964
2006-07-18,267.263000,274.500000,267.263000,271.437988,204.491791,185820
2006-07-19,272.500000,272.500000,261.250000,262.549988,197.795837,99628
2006-07-20,269.875000,273.000000,260.250000,271.375000,204.444336,104672
2006-07-21,268.274994,272.250000,263.375000,267.237000,201.326904,109952
2006-07-24,265.024994,273.750000,257.500000,269.962006,203.379807,113588
2006-07-25,259.500000,273.000000,257.500000,269.450012,202.994141,75464
2006-07-26,267.562012,279.225006,267.562012,274.162994,206.544708,170712
2006-07-27,269.024994,279.250000,265.000000,274.375000,206.704422,104076
2006-07-28,275.000000,278.125000,267.750000,276.987000,208.672180,62192
2006-07-31,279.350006,292.250000,277.500000,289.687988,218.240616,263088
2006-08-01,291.250000,296.250000,290.000000,294.837006,222.119781,120328
2006-08-02,293.500000,296.250000,290.000000,292.337006,220.236313,87984
2006-08-03,294.750000,294.750000,286.625000,288.450012,217.308014,32840
2006-08-04,292.500000,292.500000,285.325012,286.562012,215.885727,23092
2006-08-07,283.750000,291.500000,283.750000,287.687988,216.733932,21968
2006-08-08,292.250000,292.250000,287.500000,288.787994,217.562637,21588
2006-08-09,287.500000,290.513000,286.250000,288.725006,217.515167,35832
2006-08-10,288.750000,292.924988,288.750000,290.763000,219.050629,34020
2006-08-11,292.500000,293.750000,291.250000,291.837006,219.859711,20244
2006-08-14,296.250000,300.000000,285.000000,294.562012,221.912628,29600
2006-08-16,296.250000,339.500000,294.500000,335.375000,252.659683,754316
2006-08-17,336.250000,341.250000,322.513000,328.187988,247.245239,732800
2006-08-18,327.500000,332.000000,317.587006,319.312012,240.558334,171556
2006-08-21,321.250000,333.237000,318.250000,321.350006,242.093719,292388
2006-08-22,324.862000,327.500000,317.549988,319.100006,240.398651,103636
2006-08-23,323.500000,323.500000,306.263000,308.362000,232.309021,254376
2006-08-24,308.750000,318.750000,297.750000,300.237000,226.187927,290232
