Date,open,high,low,close,adj_close,volume
2002-07-01,11.300000,12.000000,11.050000,11.600000,7.307121,38279
2002-07-02,11.700000,11.850000,11.350000,11.500000,7.244127,35560
2002-07-03,11.350000,13.800000,11.350000,13.800000,8.692954,384739
2002-07-04,14.400000,14.400000,13.050000,13.150000,8.283504,313272
2002-07-05,13.600000,13.800000,13.100000,13.400000,8.440984,71080
2002-07-08,13.450000,13.800000,12.650000,13.150000,8.283504,210419
2002-07-09,13.650000,13.700000,12.750000,12.900000,8.126022,154696
2002-07-10,13.100000,13.100000,12.050000,12.200000,7.685075,59294
2002-07-11,12.800000,12.800000,11.500000,11.600000,7.307121,67472
2002-07-12,12.500000,12.500000,11.550000,11.750000,7.401608,17255
2002-07-15,13.450000,13.450000,11.000000,11.350000,7.149641,23683
2002-07-16,11.000000,11.500000,11.000000,11.050000,6.960663,35052
2002-07-17,11.150000,11.700000,9.950000,10.000000,6.299241,64853
2002-07-18,10.500000,10.900000,10.350000,10.500000,6.614203,17903
2002-07-19,10.800000,10.800000,10.400000,10.500000,6.614203,11000
2002-07-22,10.300000,10.300000,8.500000,9.200000,5.795303,57228
2002-07-23,9.050000,10.500000,8.900000,10.350000,6.519717,43350
2002-07-24,10.100000,10.650000,9.900000,10.100000,6.362234,34852
2002-07-25,10.500000,10.500000,9.850000,9.900000,6.236250,14506
2002-07-26,9.550000,9.800000,9.300000,9.350000,5.889792,12051
2002-07-29,9.250000,9.250000,8.550000,9.100000,5.732311,22519
2002-07-30,9.600000,9.800000,8.500000,8.550000,5.385852,33015
2002-07-31,8.300000,9.150000,8.250000,8.750000,5.511837,19225
2002-08-01,9.150000,9.500000,8.500000,9.000000,5.669318,18058
2002-08-02,8.900000,9.150000,8.600000,8.950000,5.637822,16725
2002-08-05,8.650000,9.550000,8.650000,9.300000,5.858295,20336
2002-08-06,9.200000,9.550000,9.100000,9.450000,5.952783,6650
2002-08-07,9.800000,11.000000,9.800000,10.600000,6.677197,70596
2002-08-08,10.750000,10.850000,9.850000,10.000000,6.299241,51800
2002-08-09,9.700000,10.400000,9.500000,10.250000,6.456724,27100
2002-08-12,10.200000,10.600000,10.100000,10.200000,6.425229,20850
2002-08-13,10.300000,10.350000,10.150000,10.150000,6.393730,12125
2002-08-14,10.000000,10.050000,9.800000,9.850000,6.204755,13300
2002-08-15,null,null,null,null,null,null
2002-08-16,10.200000,10.200000,9.700000,9.850000,6.204755,23050
2002-08-19,9.850000,10.100000,9.350000,9.500000,5.984281,26925
2002-08-20,9.250000,9.900000,9.250000,9.750000,6.141759,8505
2002-08-21,9.800000,9.800000,9.600000,9.650000,6.078769,14700
2002-08-22,9.550000,9.750000,9.500000,9.500000,5.984281,15964
2002-08-23,9.500000,9.600000,9.500000,9.550000,6.015777,19625
2002-08-26,9.500000,9.700000,9.500000,9.600000,6.047273,10051
2002-08-27,9.800000,9.800000,9.550000,9.700000,6.110265,14300
2002-08-28,9.600000,9.650000,9.500000,9.500000,5.984281,16125
2002-08-29,9.750000,9.850000,9.200000,9.300000,5.858295,19500
2002-08-30,9.400000,9.600000,9.350000,9.500000,5.984281,35110
2002-09-02,9.250000,9.750000,9.250000,9.600000,6.047273,9275
2002-09-03,9.500000,9.600000,9.350000,9.350000,5.889792,12650
2002-09-04,9.550000,9.550000,9.400000,9.400000,5.921286,12149
2002-09-05,9.450000,9.600000,9.300000,9.450000,5.952783,17850
2002-09-06,9.900000,9.900000,9.350000,9.600000,6.047273,16245
2002-09-09,9.300000,9.450000,8.600000,9.050000,5.700813,28600
2002-09-10,null,null,null,null,null,null
2002-09-11,9.850000,9.850000,8.900000,9.000000,5.669318,14200
2002-09-12,9.000000,9.000000,8.750000,8.950000,5.637822,10900
2002-09-13,9.000000,9.000000,8.550000,8.600000,5.417348,17700
2002-09-16,9.400000,9.400000,8.500000,8.750000,5.511837,10805
2002-09-17,8.650000,8.750000,8.350000,8.600000,5.417348,17800
2002-09-18,8.500000,8.500000,7.800000,8.000000,5.039393,20700
2002-09-19,7.800000,8.100000,7.800000,8.000000,5.039393,13665
2002-09-20,8.000000,8.000000,7.600000,7.600000,4.787424,15501
2002-09-23,7.650000,8.050000,7.500000,8.000000,5.039393,19026
2002-09-24,7.800000,8.200000,7.800000,8.050000,5.070890,10426
2002-09-25,7.900000,8.100000,7.850000,7.900000,4.976402,8000
2002-09-26,8.150000,8.150000,7.950000,8.000000,5.039393,4775
2002-09-27,7.900000,8.200000,7.800000,7.800000,4.913409,6250
2002-09-30,8.000000,8.000000,7.750000,7.750000,4.881912,4200
2002-10-01,7.600000,7.650000,7.550000,7.600000,4.787424,3800
2002-10-02,null,null,null,null,null,null
2002-10-03,7.850000,7.850000,7.550000,7.650000,4.818920,4250
2002-10-04,7.500000,7.700000,7.500000,7.650000,4.818920,4250
2002-10-07,7.750000,7.850000,7.600000,7.850000,4.944905,6700
2002-10-08,7.950000,8.100000,7.800000,7.900000,4.976402,11450
2002-10-09,7.950000,8.050000,7.850000,7.850000,4.944905,1950
2002-10-10,7.550000,7.850000,7.550000,7.800000,4.913409,1850
2002-10-11,7.600000,8.500000,7.600000,7.800000,4.913409,6153
2002-10-14,7.800000,7.950000,7.700000,7.800000,4.913409,5600
2002-10-15,null,null,null,null,null,null
2002-10-16,8.000000,8.000000,7.900000,7.900000,4.976402,8400
2002-10-17,7.750000,7.800000,7.700000,7.750000,4.881912,4001
2002-10-18,7.650000,7.750000,7.650000,7.700000,4.850416,7300
2002-10-21,7.750000,7.800000,7.600000,7.800000,4.913409,3950
2002-10-22,7.650000,7.800000,7.650000,7.700000,4.850416,5700
2002-10-23,7.800000,7.950000,7.650000,7.700000,4.850416,10900
2002-10-24,7.500000,7.900000,7.500000,7.800000,4.913409,11702
2002-10-25,7.600000,7.800000,7.400000,7.500000,4.724432,13582
2002-10-28,7.300000,7.350000,7.200000,7.250000,4.566951,7025
