Date,open,high,low,close,adj_close,volume
2002-08-12,9.550000,9.550000,9.550000,9.550000,5.237729,1000
2002-08-13,9.600000,9.800000,9.600000,9.800000,5.374840,2400
2002-08-14,9.600000,9.600000,9.600000,9.600000,5.265151,1000
2002-08-15,null,null,null,null,null,null
2002-08-16,9.400000,9.800000,9.400000,9.600000,5.265151,9525
2002-08-19,9.500000,9.890000,9.500000,9.890000,5.424201,2750
2002-08-20,9.410000,9.420000,9.410000,9.420000,5.166428,8975
2002-08-21,9.410000,9.420000,9.400000,9.410000,5.160944,3825
2002-08-22,9.400000,9.420000,9.400000,9.420000,5.166428,15400
2002-08-23,9.970000,9.970000,9.410000,9.450000,5.182882,925
2002-08-26,9.400000,9.410000,9.150000,9.370000,5.139006,30075
2002-08-27,9.020000,9.200000,8.900000,8.900000,4.881232,31600
2002-08-28,9.000000,9.100000,8.810000,8.810000,4.831873,26000
2002-08-29,8.810000,9.000000,8.800000,8.810000,4.831873,2325
2002-08-30,8.880000,8.880000,8.880000,8.880000,4.870265,400
2002-09-02,9.000000,9.000000,8.800000,8.800000,4.826388,28500
2002-09-03,8.820000,8.820000,8.800000,8.800000,4.826388,4200
2002-09-04,8.440000,8.980000,8.010000,8.910000,4.886717,4275
2002-09-05,9.000000,9.000000,8.300000,9.000000,4.936078,8250
2002-09-06,null,null,null,null,null,null
2002-09-09,8.900000,9.870000,8.600000,9.580000,5.254181,3700
2002-09-10,null,null,null,null,null,null
2002-09-11,8.630000,8.810000,8.630000,8.800000,4.826388,1275
2002-09-12,8.800000,8.800000,8.800000,8.800000,4.826388,2075
2002-09-13,9.000000,9.000000,9.000000,9.000000,4.936078,1250
2002-09-16,9.390000,9.400000,8.680000,8.690000,4.766058,1750
2002-09-17,8.690000,9.150000,8.690000,9.150000,5.018346,1025
2002-09-18,8.700000,8.970000,8.690000,8.970000,4.919625,2000
2002-09-19,8.600000,8.600000,8.600000,8.600000,4.716698,2150
2002-09-20,9.090000,9.090000,8.600000,8.660000,4.749604,3275
