Date,open,high,low,close,adj_close,volume
2007-01-05,188.699997,189.925003,182.475006,189.925003,176.859955,12945264
2007-01-08,193.725006,193.725006,193.725006,193.725006,180.398544,280552
2007-01-09,197.600006,197.600006,197.600006,197.600006,184.007004,358706
2007-01-10,201.550003,201.550003,201.550003,201.550003,187.685257,396400
2007-01-11,205.600006,205.600006,202.500000,205.600006,191.456680,3524604
2007-01-12,209.725006,209.725006,201.500000,209.725006,195.297897,3847062
2007-01-15,213.925003,213.925003,213.925003,213.925003,199.208984,306746
2007-01-16,218.225006,218.225006,218.225006,218.225006,203.213181,295398
2007-01-17,222.600006,222.600006,214.324997,222.600006,207.287231,2673284
2007-01-18,226.000000,227.050003,218.149994,218.149994,203.143326,1103220
2007-01-19,218.500000,222.500000,213.800003,213.800003,199.092590,284286
2007-01-22,209.550003,212.000000,209.524994,209.524994,195.111664,118388
2007-01-23,205.524994,208.350006,205.350006,205.350006,191.223862,1146166
2007-01-24,201.250000,209.475006,201.250000,204.774994,190.688431,1678018
2007-01-25,200.699997,206.500000,200.699997,201.824997,187.941376,826198
2007-01-29,201.250000,201.500000,197.800003,199.699997,185.962524,349174
2007-01-31,200.050003,203.449997,195.725006,195.725006,182.260971,326022
2007-02-01,192.500000,199.649994,191.824997,199.649994,185.915970,703460
2007-02-02,203.649994,203.649994,203.649994,203.649994,189.640793,101218
2007-02-05,207.449997,207.725006,199.574997,199.574997,185.846130,550518
2007-02-06,198.500000,198.524994,195.600006,195.600006,182.144577,151806
2007-02-07,195.600006,198.500000,191.699997,191.699997,178.512833,275432
2007-02-08,192.000000,192.500000,187.875000,187.875000,174.950989,128722
2007-02-09,184.149994,187.750000,184.125000,184.574997,171.877975,320104
2007-02-12,181.300003,181.300003,180.899994,180.899994,168.455780,16890
2007-02-13,177.300003,177.300003,177.300003,177.300003,165.103424,12130
2007-02-14,173.774994,173.774994,173.774994,173.774994,161.820923,36780
2007-02-15,170.300003,177.250000,170.300003,171.800003,159.981812,1017264
2007-02-19,172.250000,173.350006,168.375000,168.375000,156.792404,525380
2007-02-20,167.949997,170.449997,165.024994,165.274994,153.905624,736772
2007-02-21,166.000000,168.600006,165.800003,168.600006,157.001923,231966
2007-02-22,171.449997,171.975006,166.000000,170.375000,158.654816,189724
2007-02-23,169.449997,171.500000,166.975006,169.000000,157.374405,295070
2007-02-26,166.000000,168.500000,165.625000,165.625000,154.231552,33940
2007-02-27,165.625000,165.625000,162.324997,162.324997,151.158585,26714
2007-02-28,159.100006,159.100006,159.100006,159.100006,148.155411,3896
2007-03-01,155.925003,155.925003,155.925003,155.925003,145.198822,4180
2007-03-02,152.824997,152.824997,152.824997,152.824997,142.312073,6168
2007-03-05,149.774994,149.774994,149.774994,149.774994,139.471863,1656
2007-03-06,146.800003,146.800003,146.800003,146.800003,136.701569,5682
2007-03-07,143.875000,143.875000,143.875000,143.875000,133.977737,21996
