Date,open,high,low,close,adj_close,volume
2000-01-03,7.382380,7.527130,7.044630,7.406510,0.124511,994998
2000-01-04,7.199030,7.527130,7.049450,7.420980,0.124754,1058302
2000-01-05,7.165250,7.681540,7.054280,7.565730,0.127187,873415
2000-01-06,7.720140,8.135090,7.710490,7.802160,0.131162,2088481
2000-01-07,8.009640,8.009640,7.720140,7.787690,0.130919,514644
2000-01-10,7.956570,8.395650,7.821460,8.332920,0.140084,1798673
2000-01-11,8.395650,8.492150,7.826290,7.937270,0.133433,1547610
2000-01-12,7.999990,8.106140,7.889020,8.062720,0.135542,384915
2000-01-13,8.193000,8.193000,7.782860,7.855240,0.132054,233291
2000-01-14,7.816640,7.889020,7.720140,7.811810,0.131324,213727
2000-01-17,7.961390,8.009640,7.724960,7.826290,0.131567,294005
2000-01-18,7.758740,7.860060,7.430630,7.512660,0.126295,371537
2000-01-19,7.696010,7.816640,7.401680,7.425810,0.124835,556052
2000-01-20,7.401680,7.560910,7.189380,7.223150,0.121428,345382
2000-01-21,7.150780,7.237630,7.044630,7.145950,0.120130,455888
2000-01-24,7.305180,7.623640,6.996370,7.092880,0.119238,391765
2000-01-25,7.092880,7.662240,6.986720,7.662240,0.128810,1479196
2000-01-26,null,null,null,null,null,null
2000-01-27,8.106140,8.106140,7.430630,7.556080,0.127025,1148622
2000-01-28,7.527130,8.106140,7.358260,7.889020,0.132622,1659535
2000-01-31,7.903490,8.202650,7.585030,7.951740,0.133676,2478775
2000-02-01,7.753910,7.864890,7.623640,7.715310,0.129702,552995
2000-02-02,7.913140,8.057890,7.724960,7.860060,0.132135,541617
2000-02-03,7.999990,8.284670,7.585030,7.662240,0.128810,1951458
2000-02-04,7.527130,7.613990,7.237630,7.295530,0.122645,1648468
2000-02-07,7.517480,7.517480,7.145950,7.435460,0.124997,784007
2000-02-08,7.285880,7.710490,7.285880,7.628460,0.128242,1585215
2000-02-09,7.806990,7.860060,7.556080,7.642940,0.128485,721417
2000-02-10,7.575380,7.816640,7.527130,7.681540,0.129134,571057
2000-02-11,7.700840,7.860060,7.527130,7.628460,0.128242,773738
2000-02-14,7.546430,7.720140,7.449930,7.522310,0.126457,527700
2000-02-15,7.478880,7.503010,7.237630,7.305180,0.122807,566021
2000-02-16,7.329310,7.893840,7.324480,7.821460,0.131486,953123
2000-02-17,8.125440,8.202650,7.864890,8.062720,0.135542,1290205
2000-02-18,7.937270,8.082020,7.527130,7.609160,0.127917,723054
2000-02-21,7.613990,7.700840,7.440280,7.478880,0.125727,268555
2000-02-22,7.575380,8.057890,7.334130,7.903490,0.132865,1520771
2000-02-23,8.207470,8.207470,7.768390,7.879370,0.132460,1069649
2000-02-24,7.647760,8.067540,7.647760,7.917970,0.133109,444914
2000-02-25,8.004820,8.053070,7.773210,7.961390,0.133839,415371
2000-02-28,8.009640,8.598300,7.720140,8.598300,0.144546,1291086
2000-02-29,8.685150,8.974660,7.913140,8.183350,0.137570,1896018
2000-03-01,8.193000,8.202650,7.575380,7.879370,0.132460,454966
2000-03-02,7.980690,7.980690,7.285880,7.319660,0.123051,499628
2000-03-03,6.851620,7.903490,6.851620,7.749090,0.130270,1287946
2000-03-06,7.720140,7.855240,7.334130,7.425810,0.124835,493867
2000-03-07,7.425810,7.527130,6.952950,7.305180,0.122807,759075
2000-03-08,7.551260,7.681540,6.948120,6.972250,0.117210,393941
2000-03-09,6.948120,7.039800,6.803370,6.996370,0.117616,489390
2000-03-10,6.948120,7.189380,6.803370,6.866100,0.115426,493007
2000-03-13,6.668270,6.851620,6.369110,6.412540,0.107801,247944
2000-03-14,6.079610,6.562120,6.079610,6.499390,0.109261,965403
2000-03-15,6.648970,6.837150,6.465610,6.610370,0.111127,368543
2000-03-16,6.557290,6.600720,6.422190,6.465610,0.108693,536053
2000-03-17,null,null,null,null,null,null
2000-03-20,null,null,null,null,null,null
2000-03-21,6.383590,6.513870,6.277440,6.388410,0.107395,343673
2000-03-22,6.513870,6.745470,6.513870,6.634490,0.111532,185955
2000-03-23,6.282260,6.851620,6.272610,6.489740,0.109099,190981
2000-03-24,6.417360,6.465610,5.983110,6.407710,0.107720,343693
2000-03-27,6.417360,6.465610,6.311210,6.369110,0.107071,258172
2000-03-28,6.127860,6.417360,6.108560,6.229190,0.104719,266244
2000-03-29,6.277440,6.465610,6.277440,6.325690,0.106341,4209200
2000-03-30,6.272610,6.832320,6.243660,6.687570,0.112424,2373191
2000-03-31,6.176110,6.730990,6.176110,6.494570,0.109180,3283848
2000-04-03,6.557290,6.730990,6.494570,6.663440,0.112019,3441783
2000-04-04,6.518690,6.658620,6.291910,6.393240,0.107476,1276589
2000-04-05,6.272610,6.320860,6.055480,6.137510,0.103177,1175793
2000-04-06,6.248490,6.248490,5.934860,6.098910,0.258161,967548
2000-04-07,6.224360,6.349810,6.089260,6.253310,0.264697,1068043
2000-04-10,6.229190,6.359460,5.790100,6.055480,0.256323,1146643
2000-04-11,5.939680,6.108560,5.939680,6.016880,0.254689,545203
