Date,open,high,low,close,adj_close,volume
2002-07-01,11.000000,12.500000,10.300000,10.350000,7.758338,65726
2002-07-02,10.000000,10.000000,9.350000,9.350000,7.008739,36701
2002-07-03,8.450000,9.000000,8.450000,8.450000,6.334102,118797
2002-07-04,8.100000,8.500000,7.600000,7.600000,5.696943,155094
2002-07-05,7.950000,8.300000,6.850000,8.000000,5.996783,192294
2002-07-08,8.350000,8.800000,7.800000,8.700000,6.521502,144279
2002-07-09,8.800000,9.300000,8.500000,8.800000,6.596462,136168
2002-07-10,8.950000,9.000000,7.950000,8.000000,5.996783,46251
2002-07-11,7.600000,8.000000,7.200000,7.350000,5.509543,61190
2002-07-12,7.900000,8.000000,7.050000,7.850000,5.884343,62896
2002-07-15,7.700000,7.700000,7.100000,7.150000,5.359624,39060
2002-07-16,6.700000,7.850000,6.600000,7.450000,5.584503,68641
2002-07-17,7.350000,8.000000,6.900000,7.400000,5.547024,58382
2002-07-18,7.300000,7.550000,7.250000,7.350000,5.509543,15417
2002-07-19,7.100000,7.400000,7.000000,7.350000,5.509543,26465
2002-07-22,7.000000,7.200000,6.650000,6.650000,4.984825,23796
2002-07-23,6.400000,6.900000,6.400000,6.600000,4.947346,21482
2002-07-24,6.400000,6.650000,6.400000,6.500000,4.872386,22417
2002-07-25,6.500000,7.050000,6.500000,6.800000,5.097265,66359
2002-07-26,6.800000,7.000000,6.400000,6.550000,4.909866,31597
2002-07-29,6.500000,7.150000,5.900000,6.900000,5.172224,59548
2002-07-30,7.050000,7.500000,6.700000,7.150000,5.359624,100716
2002-07-31,7.200000,7.200000,6.500000,6.900000,5.172224,18081
2002-08-01,6.850000,6.850000,6.550000,6.600000,4.947346,9856
2002-08-02,6.450000,6.700000,6.100000,6.300000,4.722466,15983
2002-08-05,6.400000,6.700000,6.400000,6.500000,4.872386,14366
2002-08-06,6.600000,6.650000,6.400000,6.450000,4.834907,4992
2002-08-07,6.500000,6.600000,6.200000,6.200000,4.647506,10836
2002-08-08,6.150000,6.300000,6.100000,6.200000,4.647506,8705
2002-08-09,6.050000,6.100000,5.900000,5.950000,4.460107,11889
2002-08-12,6.200000,6.200000,5.850000,5.850000,4.385147,6248
2002-08-13,5.550000,5.900000,5.550000,5.800000,4.347667,9204
2002-08-14,5.750000,6.000000,5.600000,5.700000,4.272707,128057
2002-08-15,null,null,null,null,null,null
2002-08-16,5.600000,5.950000,5.400000,5.900000,4.422626,18136
2002-08-19,5.700000,5.950000,5.700000,5.900000,4.422626,6739
2002-08-20,5.800000,6.000000,5.650000,5.800000,4.347667,119832
2002-08-21,5.700000,5.950000,5.650000,5.800000,4.347667,13857
2002-08-22,6.000000,6.000000,5.700000,6.000000,4.497587,10178
2002-08-23,5.950000,6.150000,5.900000,6.100000,4.572546,9762
2002-08-26,6.000000,6.650000,6.000000,6.500000,4.872386,12540
2002-08-27,6.600000,6.750000,6.500000,6.500000,4.872386,20905
2002-08-28,6.400000,6.850000,6.400000,6.800000,5.097265,34163
2002-08-29,6.850000,7.000000,6.700000,6.750000,5.059784,22350
2002-08-30,6.750000,6.750000,6.450000,6.500000,4.872386,72407
2002-09-02,6.550000,6.850000,6.400000,6.450000,4.834907,17864
2002-09-03,6.550000,6.600000,6.500000,6.500000,4.872386,103010
2002-09-04,6.750000,6.750000,6.300000,6.400000,4.797427,56769
2002-09-05,6.600000,6.600000,6.350000,6.400000,4.797427,29451
2002-09-06,6.600000,6.600000,6.400000,6.500000,4.872386,38178
2002-09-09,6.250000,6.700000,6.250000,6.500000,4.872386,27492
2002-09-10,null,null,null,null,null,null
2002-09-11,6.550000,6.600000,6.450000,6.500000,4.872386,25317
2002-09-12,6.500000,6.550000,6.500000,6.500000,4.872386,34457
2002-09-13,6.600000,6.900000,6.500000,6.500000,4.872386,30557
2002-09-16,6.500000,6.750000,6.500000,6.750000,5.059784,40242
2002-09-17,6.700000,6.750000,6.700000,6.750000,5.059784,18370
2002-09-18,7.200000,7.200000,6.750000,6.950000,5.209705,51329
2002-09-19,7.000000,7.050000,7.000000,7.000000,5.247185,29090
2002-09-20,7.000000,7.300000,7.000000,7.200000,5.397103,101289
2002-09-23,7.200000,7.400000,7.200000,7.250000,5.434585,40512
2002-09-24,7.250000,7.300000,7.250000,7.250000,5.434585,30214
2002-09-25,7.250000,7.300000,7.200000,7.250000,5.434585,62369
2002-09-26,7.250000,7.350000,7.250000,7.250000,5.434585,5781
2002-09-27,7.300000,7.400000,7.250000,7.250000,5.434585,16794
2002-09-30,7.500000,7.750000,7.500000,7.650000,5.734424,34285
2002-10-01,7.650000,8.000000,7.500000,7.900000,5.921823,64592
2002-10-02,null,null,null,null,null,null
2002-10-03,8.550000,8.550000,8.000000,8.400000,6.296621,48390
2002-10-04,8.900000,8.900000,8.500000,8.500000,6.371582,48792
2002-10-07,8.500000,8.550000,8.500000,8.500000,6.371582,25686
2002-10-08,8.500000,8.500000,7.700000,7.700000,5.771903,27244
2002-10-09,7.800000,7.850000,7.000000,7.000000,5.247185,20857
2002-10-10,7.050000,7.250000,6.700000,7.150000,5.359624,13740
2002-10-11,7.750000,7.750000,6.950000,7.050000,5.284664,10022
2002-10-14,7.050000,7.350000,7.050000,7.150000,5.359624,8601
2002-10-15,null,null,null,null,null,null
2002-10-16,7.650000,7.650000,7.000000,7.050000,5.284664,4942
2002-10-17,6.950000,7.400000,6.950000,6.950000,5.209705,2251
2002-10-18,7.400000,7.400000,6.850000,6.950000,5.209705,3477
2002-10-21,6.600000,7.200000,6.600000,7.050000,5.284664,9275
2002-10-22,7.400000,7.400000,6.900000,7.050000,5.284664,5849
2002-10-23,6.650000,7.200000,6.650000,6.850000,5.134744,3925
2002-10-24,6.850000,6.900000,6.650000,6.850000,5.134744,7187
2002-10-25,6.650000,6.800000,6.650000,6.700000,5.022304,4012
2002-10-28,6.500000,7.350000,6.300000,6.300000,4.722466,9821
2002-10-29,6.250000,6.500000,6.200000,6.400000,4.797427,10358
2002-10-30,6.500000,6.500000,6.500000,6.500000,4.872386,500
2002-10-31,7.050000,7.050000,6.550000,6.800000,5.097265,59279
2002-11-01,7.300000,7.300000,6.550000,6.700000,5.022304,18049
2002-11-04,6.800000,7.100000,6.800000,7.000000,5.247185,13341
2002-11-05,7.100000,7.100000,6.950000,6.950000,5.209705,7664
2002-11-06,null,null,null,null,null,null
2002-11-07,7.000000,7.200000,6.900000,6.950000,5.209705,13764
2002-11-08,7.000000,7.000000,6.900000,6.900000,5.172224,56182
2002-11-11,7.000000,7.050000,6.800000,6.850000,5.134744,9472
2002-11-12,7.000000,7.000000,6.650000,6.650000,4.984825,2640
2002-11-13,6.450000,6.850000,6.450000,6.700000,5.022304,3697
2002-11-14,6.750000,6.750000,6.500000,6.550000,4.909866,3537
2002-11-15,6.500000,6.700000,6.500000,6.600000,4.947346,3582
2002-11-18,6.500000,7.000000,6.500000,6.700000,5.022304,10191
2002-11-19,null,null,null,null,null,null
2002-11-20,6.800000,7.100000,6.800000,7.050000,5.284664,10446
2002-11-21,6.700000,7.050000,6.700000,7.000000,5.247185,5404
