Date,open,high,low,close,adj_close,volume
2008-02-25,90.000000,131.363998,90.000000,128.091003,122.258362,40470474
2008-02-26,135.363998,135.363998,114.908997,126.136002,120.392380,32803969
2008-02-27,128.636002,128.636002,104.544998,105.818001,100.999565,20594792
2008-02-28,106.363998,108.544998,97.590897,102.363998,97.702835,18205882
2008-02-29,100.908997,103.408997,96.681801,98.727303,94.231743,5131313
2008-03-03,97.181801,99.500000,92.727303,95.000000,90.674164,5843303
2008-03-04,97.954597,101.500000,91.818199,94.090897,89.806450,7278526
2008-03-05,92.818199,96.590897,85.045403,86.727303,82.778160,6218726
2008-03-07,85.454597,85.909103,71.090897,71.909103,68.634712,3948395
2008-03-10,69.090897,69.090897,62.363602,65.954597,62.951344,3035032
2008-03-11,64.090897,75.181801,60.227299,72.136398,68.851662,4768484
2008-03-12,75.000000,80.590897,68.727303,71.636398,68.374420,1465529
2008-03-13,67.454597,73.590897,64.636398,68.045403,64.946945,2031231
2008-03-14,68.772697,71.363602,66.909103,70.636398,67.419960,1133394
2008-03-17,65.636398,72.772697,63.727299,66.227303,63.211636,1048974
2008-03-18,66.272697,75.363602,66.272697,71.136398,67.897194,2398586
2008-03-19,74.545403,76.090897,66.363602,67.954597,64.860275,747600
2008-03-24,68.545403,72.181801,68.181801,70.909103,67.680244,969704
2008-03-25,71.136398,74.545403,69.409103,71.590897,68.330994,428495
2008-03-26,71.045403,76.545403,69.545403,72.272697,68.981750,655116
2008-03-27,70.090897,73.272697,69.318199,70.409103,67.203011,193402
2008-03-28,70.545403,74.090897,70.409103,73.181801,69.849457,338235
2008-03-31,71.727303,72.727303,68.636398,69.500000,66.335304,299028
2008-04-01,69.318199,74.045403,69.318199,71.181801,67.940529,356064
2008-04-02,73.636398,73.636398,69.318199,69.545403,66.378647,144782
2008-04-03,70.909103,83.454597,70.000000,83.454597,79.654480,3902218
2008-04-04,86.454597,97.727303,78.272697,79.727303,76.096909,19899814
2008-04-07,80.227303,81.318199,73.909103,75.863602,72.409142,2136343
2008-04-08,75.681801,83.181801,73.227303,75.136398,71.715057,3555719
2008-04-09,77.636398,80.272697,72.090897,72.863602,69.545753,3387964
2008-04-10,73.454597,75.272697,70.909103,71.681801,68.417763,1104538
2008-04-11,74.909103,74.909103,70.000000,70.227303,67.029495,825757
2008-04-15,70.409103,72.181801,67.818199,70.409103,67.203011,810888
2008-04-16,70.909103,73.818199,70.454597,70.863602,67.636818,868044
2008-04-17,71.818199,72.636398,69.636398,70.000000,66.812538,364428
2008-04-21,72.181801,72.545403,69.681801,70.363602,67.159584,338251
2008-04-22,71.636398,72.045403,70.090897,70.409103,67.203011,372804
2008-04-23,71.000000,71.318199,69.181801,69.500000,66.335304,279340
2008-04-24,70.000000,77.954597,69.636398,74.136398,70.760582,3678480
2008-04-25,77.727303,77.727303,71.363602,72.090897,68.808228,992740
2008-04-28,72.727303,73.636398,71.363602,71.590897,68.330994,319245
2008-04-29,70.500000,73.636398,70.500000,71.363602,68.114052,472502
2008-04-30,71.909103,76.000000,71.363602,71.772697,68.504517,2049612
2008-05-02,73.181801,74.545403,71.090897,71.545403,68.287567,425688
2008-05-05,71.909103,73.818199,71.227303,71.636398,68.374420,649320
2008-05-06,71.818199,72.227303,69.545403,70.136398,66.942726,306017
2008-05-07,70.909103,70.909103,68.636398,68.909103,65.771317,322309
2008-05-08,68.954597,68.954597,65.954597,66.500000,63.471912,267887
2008-05-09,66.454597,67.181801,63.727299,64.454597,61.519650,289707
2008-05-12,64.590897,64.590897,60.000000,60.863602,58.092167,381094
2008-05-13,63.545399,64.454597,61.136398,61.545399,58.742920,341924
2008-05-14,61.227299,62.954601,60.136398,61.136398,58.352543,305887
2008-05-15,61.818199,62.727299,61.227299,61.500000,58.699589,193062
2008-05-16,62.090900,65.227303,61.363602,63.227299,60.348236,911390
2008-05-20,63.545399,63.545399,61.909100,62.136398,59.307011,179790
2008-05-21,62.363602,64.000000,61.272701,62.500000,59.654053,318428
2008-05-22,62.181801,63.000000,61.272701,61.500000,58.699589,120503
2008-05-23,62.181801,63.636398,59.363602,59.727299,57.007607,208142
2008-05-26,58.227299,58.227299,56.181801,56.454601,53.883934,200162
2008-05-27,57.590900,60.454601,56.590900,58.454601,55.792866,1173027
2008-05-28,59.545399,67.000000,58.681801,62.500000,59.654053,4882900
2008-05-29,61.818199,64.909103,59.090900,60.318199,57.571602,1956920
2008-05-30,60.909100,61.545399,57.727299,58.181801,55.532486,391538
2008-06-02,59.090900,59.727299,55.909100,56.318199,53.753742,236222
2008-06-03,55.454601,55.454601,52.863602,53.772701,51.324154,220353
2008-06-04,53.863602,54.227299,50.136398,50.454601,48.157146,166802
2008-06-05,51.000000,51.000000,46.954601,47.954601,45.770985,191418
2008-06-06,48.181801,51.136398,47.045399,47.727299,45.554028,446487
2008-06-09,47.272701,47.272701,41.000000,42.772701,40.825043,232475
2008-06-10,42.772701,44.272701,41.045399,42.136398,40.217712,228204
2008-06-11,42.727299,43.818199,42.090900,42.363602,40.434570,125561
2008-06-12,40.909100,42.636398,39.090900,41.818199,39.914001,203290
2008-06-13,42.045399,45.727299,41.818199,44.272701,42.256737,769099
2008-06-16,45.454601,47.136398,44.090900,44.318199,42.300163,253988
