Date,open,high,low,close,adj_close,volume
2002-08-12,37.049999,37.750000,36.700001,37.599998,27.027994,1150
2002-08-13,39.000000,40.000000,37.299999,38.000000,27.315531,2450
2002-08-14,38.400002,38.750000,38.250000,38.700001,27.818707,1950
2002-08-15,null,null,null,null,null,null
2002-08-16,39.400002,40.500000,39.250000,39.950001,28.717251,11463
2002-08-19,40.799999,40.799999,39.099998,40.049999,28.789133,7295
2002-08-20,39.650002,40.299999,39.650002,39.799999,28.609421,2190
2002-08-21,39.750000,39.950001,39.599998,39.650002,28.501596,2840
2002-08-22,39.849998,40.250000,39.799999,39.849998,28.645357,2388
2002-08-23,39.900002,40.250000,38.750000,40.099998,28.825068,10255
2002-08-26,40.000000,40.000000,38.599998,39.450001,28.357832,2704
2002-08-27,40.400002,40.500000,39.150002,39.450001,28.357832,4375
2002-08-28,39.500000,39.500000,38.500000,38.950001,27.998417,16550
2002-08-29,32.000000,35.000000,32.000000,34.599998,24.871508,5300
2002-08-30,34.549999,34.799999,34.150002,34.799999,25.015274,1224
2002-09-02,35.099998,35.700001,34.500000,35.349998,25.410629,4450
2002-09-03,34.900002,35.650002,29.000000,34.450001,24.763681,1846
2002-09-04,33.500000,34.349998,33.500000,33.950001,24.404266,300
2002-09-05,33.650002,34.049999,33.000000,33.500000,24.080795,2800
2002-09-06,32.000000,33.400002,32.000000,33.400002,24.008911,1152
2002-09-09,34.900002,34.900002,32.150002,33.500000,24.080795,620
2002-09-10,null,null,null,null,null,null
2002-09-11,33.950001,34.049999,33.900002,34.049999,24.476151,2950
2002-09-12,34.450001,34.500000,33.299999,34.000000,24.440210,1450
2002-09-13,33.099998,34.349998,33.000000,33.250000,23.901089,3393
2002-09-16,33.500000,34.000000,33.000000,34.000000,24.440210,2806
2002-09-17,33.349998,34.349998,33.349998,34.250000,24.619919,1634
2002-09-18,31.500000,34.400002,31.500000,33.700001,24.224560,673
2002-09-19,33.150002,33.400002,32.500000,32.500000,23.361965,711
2002-09-20,31.600000,33.349998,30.049999,31.650000,22.750959,2554
2002-09-23,29.250000,32.099998,29.250000,32.049999,23.038492,850
2002-09-24,32.000000,32.900002,32.000000,32.099998,23.074432,785
2002-09-25,32.349998,34.599998,32.000000,32.950001,23.685438,972
2002-09-26,32.549999,33.450001,32.099998,33.099998,23.793262,1455
