Date,open,high,low,close,adj_close,volume
2010-02-15,155.128998,170.990005,144.289993,147.223999,144.026367,9523620
2010-02-16,147.869995,156.024002,138.324005,143.891998,140.766739,5836617
2010-02-17,147.173996,148.167999,140.959000,142.798004,139.696503,774504
2010-02-18,142.251999,145.781998,140.809998,141.654999,138.578323,338793
2010-02-19,141.705002,141.705002,129.621994,131.511993,128.655609,292533
2010-02-22,133.251999,135.639008,123.855003,125.098000,122.380928,245780
2010-02-23,125.296997,133.748993,119.579002,125.296997,122.575607,667946
2010-02-24,123.307999,128.031006,121.169998,123.058998,120.386215,344107
2010-02-25,123.457001,129.026001,123.307999,124.998001,122.283104,387665
2010-02-26,125.744003,125.744003,120.473999,121.268997,118.635094,113345
2010-03-02,122.810997,124.302002,120.224998,121.169998,118.538246,66869
2010-03-03,122.264000,132.556000,120.920998,126.689003,123.937378,419269
2010-03-04,127.286003,135.190994,126.440002,132.953995,130.066299,309465
2010-03-05,134.246002,134.246002,126.888000,127.484001,124.715111,153252
2010-03-08,129.175003,131.263000,126.987000,127.584000,124.812935,88314
2010-03-09,128.677994,141.257004,125.296997,138.373001,135.367599,670985
2010-03-10,138.223999,147.173996,137.229996,140.660004,137.604935,569845
2010-03-11,139.716003,141.158005,135.339996,136.733002,133.763229,148428
2010-03-12,137.179993,142.699005,135.490005,137.826004,134.832489,193562
2010-03-15,137.378998,141.257004,135.639008,139.716003,136.681442,138779
2010-03-16,140.014008,143.147003,139.268005,140.610992,137.556992,106121
2010-03-17,142.201996,142.947998,140.660004,141.654999,138.578323,158891
2010-03-18,139.716003,143.195999,136.781998,140.858994,137.799606,116358
2010-03-19,142.151993,146.328995,139.417007,141.505997,138.432556,301333
2010-03-22,139.218994,144.936005,135.936996,138.223999,135.221848,206540
2010-03-23,142.201996,144.190994,138.720993,139.964005,136.924057,117577
2010-03-25,138.720993,143.942001,138.720993,140.311996,137.264481,166127
2010-03-26,140.311996,153.389008,140.311996,146.975006,143.782776,996663
2010-03-29,148.167999,154.134995,142.300995,149.162994,145.923248,401944
2010-03-30,149.610001,155.229004,147.919998,150.753998,147.479691,190537
2010-03-31,152.841995,155.824997,150.455002,154.035004,150.689438,112276
