Date,open,high,low,close,adj_close,volume
2000-06-23,11.428600,11.428600,10.000000,10.000000,9.064729,7938
2000-06-26,12.857100,12.857100,12.857100,12.857100,11.654611,49
2000-06-27,12.857100,12.857100,12.857100,12.857100,11.654611,245
2000-06-28,11.428600,14.285700,11.428600,14.285700,12.949598,2009
2000-06-29,12.857100,12.857100,12.857100,12.857100,11.654611,980
2000-06-30,null,null,null,null,null,null
2000-07-03,11.428600,11.428600,10.000000,10.000000,9.064729,2695
2000-07-04,10.000000,10.000000,10.000000,10.000000,9.064729,5488
2000-07-05,11.428600,11.428600,10.000000,10.000000,9.064729,980
2000-07-06,null,null,null,null,null,null
2000-07-07,null,null,null,null,null,null
2000-07-10,null,null,null,null,null,null
2000-07-11,8.571430,8.571430,8.571430,8.571430,7.769769,3920
2000-07-12,8.571430,8.571430,8.571430,8.571430,7.769769,735
2000-07-13,8.571430,8.571430,8.571430,8.571430,7.769769,833
2000-07-14,8.571430,8.571430,5.714290,5.714290,5.179849,8771
2000-07-17,7.142860,7.142860,7.142860,7.142860,6.474808,490
2000-07-18,null,null,null,null,null,null
2000-07-19,null,null,null,null,null,null
2000-07-20,10.000000,10.000000,10.000000,10.000000,9.064729,245
2000-07-21,null,null,null,null,null,null
2000-07-24,null,null,null,null,null,null
2000-07-25,12.857100,12.857100,12.857100,12.857100,11.654611,49
2000-07-26,null,null,null,null,null,null
2000-07-27,null,null,null,null,null,null
2000-07-28,null,null,null,null,null,null
2000-07-31,null,null,null,null,null,null
2000-08-01,18.571400,18.571400,18.571400,18.571400,16.834471,784
2000-08-02,18.571400,18.571400,18.571400,18.571400,16.834471,98
2000-08-03,18.571400,18.571400,18.571400,18.571400,16.834471,98
2000-08-04,18.571400,18.571400,18.571400,18.571400,16.834471,735
2000-08-07,14.285700,14.285700,14.285700,14.285700,12.949598,98
2000-08-08,null,null,null,null,null,null
2000-08-09,17.142900,17.142900,17.142900,17.142900,15.539575,24
2000-08-10,20.000000,20.000000,20.000000,20.000000,18.129457,2
2000-08-11,25.714300,25.714300,17.142900,17.142900,15.539575,983
2000-08-14,15.714300,15.714300,15.714300,15.714300,14.244585,49
2000-08-15,null,null,null,null,null,null
2000-08-16,null,null,null,null,null,null
2000-08-17,18.571400,18.571400,14.285700,14.285700,12.949598,196
2000-08-18,17.142900,17.142900,17.142900,17.142900,15.539575,2964
2000-08-21,null,null,null,null,null,null
2000-08-22,null,null,null,null,null,null
2000-08-23,21.428600,21.428600,12.857100,21.428600,19.424442,4901
2000-08-24,20.000000,20.000000,20.000000,20.000000,18.129457,270
2000-08-25,null,null,null,null,null,null
2000-08-28,14.285700,18.571400,14.285700,18.571400,16.834471,220
2000-08-29,null,null,null,null,null,null
2000-08-30,17.142900,20.000000,17.142900,20.000000,18.129457,477
2000-08-31,18.571400,18.571400,18.571400,18.571400,16.834471,12
2000-09-01,null,null,null,null,null,null
2000-09-04,17.142900,17.142900,17.142900,17.142900,15.539575,294
2000-09-05,20.000000,20.000000,18.571400,18.571400,16.834471,1225
2000-09-06,17.142900,17.142900,15.714300,15.714300,14.244585,3969
2000-09-07,17.142900,18.571400,15.714300,15.714300,14.244585,4263
2000-09-08,17.142900,20.000000,17.142900,17.142900,15.539575,5096
2000-09-11,18.571400,20.000000,18.571400,20.000000,18.129457,637
2000-09-12,20.000000,20.000000,15.714300,15.714300,14.244585,8232
2000-09-13,18.571400,18.571400,17.142900,17.142900,15.539575,1960
2000-09-14,17.142900,18.571400,17.142900,18.571400,16.834471,245
2000-09-15,17.142900,18.571400,17.142900,18.571400,16.834471,1103
2000-09-18,null,null,null,null,null,null
2000-09-19,null,null,null,null,null,null
2000-09-20,17.142900,17.142900,15.714300,17.142900,15.539575,1176
2000-09-21,17.142900,17.142900,15.714300,15.714300,14.244585,539
2000-09-22,17.142900,17.142900,15.714300,17.142900,15.539575,735
2000-09-25,null,null,null,null,null,null
2000-09-26,null,null,null,null,null,null
