Date,open,high,low,close,adj_close,volume
2002-07-01,32.599998,32.799999,32.599998,32.799999,32.799999,3097
2002-07-02,35.900002,36.099998,29.549999,30.450001,30.450001,24903
2002-07-03,33.500000,33.500000,31.700001,33.500000,33.500000,12144
2002-07-04,35.500000,35.650002,30.150000,31.700001,31.700001,15393
2002-07-05,32.000000,32.000000,28.549999,28.900000,28.900000,8850
2002-07-08,29.000000,29.450001,26.049999,26.549999,26.549999,9745
2002-07-09,28.100000,28.200001,25.299999,25.850000,25.850000,3307
2002-07-10,24.500000,26.000000,23.299999,23.600000,23.600000,8970
2002-07-11,22.200001,23.799999,22.000000,22.100000,22.100000,2872
2002-07-12,22.000000,23.299999,22.000000,22.650000,22.650000,4019
2002-07-15,21.299999,22.500000,21.000000,21.299999,21.299999,650
2002-07-16,22.000000,22.200001,20.100000,21.100000,21.100000,3100
2002-07-17,21.000000,21.000000,19.100000,19.600000,19.600000,1225
2002-07-18,21.000000,21.000000,20.900000,20.950001,20.950001,700
2002-07-19,20.900000,20.900000,20.000000,20.000000,20.000000,250
2002-07-22,21.750000,21.750000,18.000000,19.850000,19.850000,7
2002-07-23,null,null,null,null,null,null
2002-07-24,18.600000,18.600000,17.900000,17.900000,17.900000,500
2002-07-25,16.600000,16.950001,16.200001,16.200001,16.200001,900
2002-07-26,16.049999,16.049999,15.500000,15.550000,15.550000,1250
2002-07-29,14.800000,14.800000,14.800000,14.800000,14.800000,200
2002-07-30,14.400000,14.400000,14.400000,14.400000,14.400000,30
2002-07-31,13.900000,13.900000,13.850000,13.850000,13.850000,650
2002-08-01,13.900000,14.000000,13.400000,14.000000,14.000000,535
2002-08-02,14.000000,14.450000,13.500000,14.400000,14.400000,715
2002-08-05,13.750000,14.000000,13.750000,14.000000,14.000000,600
2002-08-06,14.500000,14.550000,14.500000,14.550000,14.550000,500
2002-08-07,15.200000,15.200000,13.900000,13.900000,13.900000,406
2002-08-08,13.500000,13.500000,13.500000,13.500000,13.500000,44
2002-08-09,13.000000,13.000000,13.000000,13.000000,13.000000,400
2002-08-12,null,null,null,null,null,null
2002-08-13,12.050000,14.050000,12.050000,14.050000,14.050000,220
2002-08-14,13.500000,13.500000,13.500000,13.500000,13.500000,1000
2002-08-15,null,null,null,null,null,null
2002-08-16,null,null,null,null,null,null
2002-08-19,12.400000,13.900000,12.150000,13.550000,13.550000,440
2002-08-20,14.150000,14.150000,12.250000,12.550000,12.550000,85
2002-08-21,11.500000,13.000000,11.500000,13.000000,13.000000,110
2002-08-22,null,null,null,null,null,null
2002-08-23,12.000000,13.900000,12.000000,13.400000,13.400000,80
2002-08-26,14.200000,14.200000,13.300000,13.300000,13.300000,230
2002-08-27,12.000000,13.250000,12.000000,13.250000,13.250000,13
2002-08-28,12.250000,12.250000,12.250000,12.250000,12.250000,2
2002-08-29,12.500000,12.600000,12.000000,12.600000,12.600000,900
2002-08-30,12.500000,13.100000,12.500000,13.100000,13.100000,188
2002-09-02,13.000000,14.000000,13.000000,13.000000,13.000000,100
2002-09-03,null,null,null,null,null,null
2002-09-04,14.300000,14.300000,11.800000,12.600000,12.600000,275
2002-09-05,null,null,null,null,null,null
2002-09-06,13.000000,13.000000,12.800000,12.950000,12.950000,600
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,null,null,null,null,null,null
2002-09-12,12.800000,13.250000,12.000000,12.050000,12.050000,900
2002-09-13,11.500000,12.900000,11.500000,12.900000,12.900000,100
2002-09-16,null,null,null,null,null,null
2002-09-17,null,null,null,null,null,null
2002-09-18,null,null,null,null,null,null
2002-09-19,12.000000,12.050000,12.000000,12.050000,12.050000,700
2002-09-20,11.350000,12.700000,11.350000,12.700000,12.700000,52
2002-09-23,null,null,null,null,null,null
2002-09-24,12.500000,13.500000,12.000000,12.950000,12.950000,600
2002-09-25,12.100000,12.100000,12.100000,12.100000,12.100000,300
2002-09-26,null,null,null,null,null,null
2002-09-27,12.100000,12.100000,12.100000,12.100000,12.100000,200
2002-09-30,12.900000,13.350000,12.900000,13.350000,13.350000,1642100
2002-10-01,14.500000,14.700000,14.500000,14.700000,14.700000,1500
2002-10-02,null,null,null,null,null,null
2002-10-03,16.200001,16.200001,16.200001,16.200001,16.200001,841
2002-10-04,17.850000,17.850000,17.850000,17.850000,17.850000,346
2002-10-07,19.500000,19.600000,17.850000,18.000000,18.000000,3600
2002-10-08,17.500000,18.450001,17.049999,17.299999,17.299999,647
2002-10-09,17.000000,17.000000,16.500000,16.549999,16.549999,650
2002-10-10,16.000000,16.000000,15.500000,15.500000,15.500000,338
2002-10-11,null,null,null,null,null,null
2002-10-14,14.550000,14.550000,14.000000,14.000000,14.000000,1300
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,15.400000,15.400000,13.500000,13.500000,13.500000,400
2002-10-18,null,null,null,null,null,null
2002-10-21,null,null,null,null,null,null
2002-10-22,12.850000,12.850000,12.650000,12.650000,12.650000,100
2002-10-23,null,null,null,null,null,null
2002-10-24,12.250000,12.250000,12.250000,12.250000,12.250000,90
2002-10-25,11.200000,11.200000,11.200000,11.200000,11.200000,100
2002-10-28,null,null,null,null,null,null
2002-10-29,null,null,null,null,null,null
2002-10-30,null,null,null,null,null,null
2002-10-31,12.350000,12.350000,12.350000,12.350000,12.350000,1
2002-11-01,13.000000,13.000000,13.000000,13.000000,13.000000,20
2002-11-04,null,null,null,null,null,null
2002-11-05,11.700000,11.900000,11.700000,11.750000,11.750000,1000
2002-11-06,null,null,null,null,null,null
2002-11-07,10.650000,10.900000,10.600000,10.900000,10.900000,450
2002-11-08,10.500000,10.500000,9.900000,9.900000,9.900000,1900
2002-11-11,9.550000,9.550000,9.500000,9.500000,9.500000,800
2002-11-12,9.250000,9.250000,8.600000,8.600000,8.600000,2100
2002-11-13,8.800000,8.800000,8.800000,8.800000,8.800000,250
2002-11-14,8.200000,9.250000,8.200000,8.850000,8.850000,1200
2002-11-15,9.000000,9.000000,8.500000,8.650000,8.650000,1700
2002-11-18,null,null,null,null,null,null
2002-11-19,null,null,null,null,null,null
2002-11-20,7.950000,9.000000,7.950000,8.950000,8.950000,2600
2002-11-21,9.000000,9.000000,8.950000,9.000000,9.000000,1500
2002-11-22,8.200000,9.250000,8.200000,8.700000,8.700000,500
2002-11-25,9.000000,9.000000,8.650000,8.650000,8.650000,800
2002-11-26,8.950000,9.100000,8.750000,9.100000,9.100000,1200
2002-11-27,9.350000,9.350000,8.750000,8.750000,8.750000,600
2002-11-28,8.650000,9.000000,8.650000,8.850000,8.850000,482
2002-11-29,8.900000,8.900000,8.700000,8.750000,8.750000,1160
2002-12-02,9.100000,9.650000,9.100000,9.500000,9.500000,4
2002-12-03,10.200000,10.200000,9.500000,9.600000,9.600000,1700
