Date,open,high,low,close,adj_close,volume
2010-12-20,101.000000,101.000000,15.000000,19.650000,19.550707,9875059
2010-12-21,20.650000,20.650000,18.700001,20.650000,20.545652,817692
2010-12-22,21.700001,21.700001,21.700001,21.700001,21.590349,571687
2010-12-23,22.799999,22.799999,22.000000,22.799999,22.684790,1969630
2010-12-24,23.950001,23.950001,23.100000,23.950001,23.828979,1433621
2010-12-27,25.150000,25.150000,25.150000,25.150000,25.022915,1009625
2010-12-28,26.450001,26.450001,26.450001,26.450001,26.316347,865744
2010-12-29,27.799999,27.799999,25.150000,27.799999,27.659525,3023202
2010-12-30,29.200001,29.200001,26.450001,26.500000,26.366093,1778647
2010-12-31,27.400000,27.850000,25.200001,27.500000,27.361040,1139990
2011-01-03,28.700001,32.299999,28.500000,29.600000,29.450430,5444968
2011-01-04,30.200001,31.299999,28.200001,29.049999,28.903208,2526893
2011-01-05,29.850000,29.900000,27.000000,27.350000,27.211800,1951376
2011-01-06,27.500000,27.700001,25.250000,25.600000,25.470642,2451459
2011-01-07,25.100000,26.700001,24.400000,24.650000,24.525442,2768950
2011-01-10,25.250000,27.549999,24.750000,25.549999,25.420893,2282175
2011-01-11,25.950001,27.299999,25.100000,25.500000,25.371145,1882873
2011-01-12,26.000000,26.400000,25.000000,25.850000,25.719379,1523678
2011-01-13,26.600000,26.700001,24.100000,24.750000,24.624937,2000289
2011-01-14,25.000000,25.000000,22.700001,23.000000,22.883780,1356532
2011-01-17,23.400000,23.500000,21.600000,21.850000,21.739590,1194009
2011-01-18,22.000000,24.700001,20.600000,23.799999,23.679737,4052520
2011-01-19,24.900000,27.400000,23.200001,26.799999,26.664577,4370060
2011-01-20,26.049999,26.850000,25.500000,25.750000,25.619884,2380214
2011-01-21,25.799999,27.500000,25.500000,26.500000,26.366093,2296261
2011-01-24,26.900000,27.200001,26.000000,26.250000,26.117357,952947
2011-01-25,26.650000,27.200001,25.700001,26.049999,25.918365,1005530
2011-01-27,26.000000,26.500000,24.350000,24.700001,24.575190,1710524
