Date,open,high,low,close,adj_close,volume
2002-07-01,7.588890,7.973330,7.577780,7.873330,0.662641,6188
2002-07-02,8.144440,8.144440,7.888890,8.066670,0.678914,2358
2002-07-03,8.088890,8.088890,7.833330,7.840000,0.659836,7065
2002-07-04,7.777780,7.833330,7.695560,7.777780,0.654600,2925
2002-07-05,7.695560,8.000000,7.695560,7.844440,0.660210,12510
2002-07-08,7.711110,8.106670,7.711110,8.106670,0.682280,4838
2002-07-09,8.106670,8.311110,7.944440,8.311110,0.699486,4612
2002-07-10,8.888890,8.888890,8.140000,8.240000,0.693502,3573
2002-07-11,8.288890,8.288890,7.944440,8.055560,0.677979,3064
2002-07-12,8.333330,8.333330,7.888890,8.017780,0.674799,4743
2002-07-15,7.888890,7.888890,7.555560,7.562220,0.636458,5080
2002-07-16,7.788890,7.788890,7.477780,7.551110,0.635523,2030
2002-07-17,null,null,null,null,null,null
2002-07-18,7.462220,7.473330,7.400000,7.400000,0.622805,1022
2002-07-19,7.762220,7.762220,7.762220,7.762220,0.653290,225
2002-07-22,7.173330,7.222220,7.140000,7.222220,0.607842,1350
2002-07-23,6.784440,7.500000,6.784440,7.144440,0.601296,963
2002-07-24,7.222220,7.222220,7.166670,7.166670,0.603167,45
2002-07-25,7.200000,7.444440,7.200000,7.295560,0.614015,148
2002-07-26,7.166670,7.166670,6.955560,6.955560,0.585399,1634
2002-07-29,6.695560,6.695560,6.695560,6.695560,0.563517,446
2002-07-30,6.666670,7.066670,6.462220,7.000000,0.589140,410
2002-07-31,6.555560,6.666670,6.473330,6.533330,0.549863,1197
2002-08-01,6.333330,6.666670,6.333330,6.662220,0.560711,243
2002-08-02,6.628890,6.628890,6.222220,6.333330,0.533031,9454
2002-08-05,6.666670,6.777780,6.255560,6.288890,0.529291,45684
2002-08-06,6.773330,6.773330,6.240000,6.544440,0.550798,33412
2002-08-07,7.188890,7.195560,6.562220,7.100000,0.597556,18000
2002-08-08,6.777780,7.051110,6.477780,6.988890,0.588205,19143
2002-08-09,6.500000,6.666670,6.500000,6.666670,0.561086,338
2002-08-12,6.666670,6.777780,6.500000,6.500000,0.547058,2700
2002-08-13,6.777780,6.777780,6.777780,6.777780,0.570437,9
2002-08-14,6.666670,6.722220,6.666670,6.722220,0.565761,18
2002-08-15,null,null,null,null,null,null
2002-08-16,6.451110,6.800000,6.451110,6.666670,0.561086,909
2002-08-19,6.888890,6.888890,6.666670,6.722220,0.565761,580
2002-08-20,6.944440,7.051110,6.628890,7.000000,0.589140,594
2002-08-21,6.677780,6.944440,6.677780,6.877780,0.578853,2020
2002-08-22,6.784440,6.888890,6.784440,6.888890,0.579788,18
2002-08-23,6.640000,7.000000,6.640000,7.000000,0.589140,387
2002-08-26,6.888890,6.888890,6.584440,6.584440,0.554165,562
2002-08-27,6.666670,6.888890,6.666670,6.666670,0.561086,3042
2002-08-28,6.662220,6.662220,6.662220,6.662220,0.560711,4
